Kết quả kinh doanh,Năm,Giá trị
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2000,3268.5
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2001,3860.4
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2002,5425.5
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2003,6016.6
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2004,7432.4
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2005,9932.1
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2006,11427.3
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2007,14568.1
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2008,18335.8
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2009,23780.8
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2010,28907.8
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2011,34097.8
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2012,37439.6
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2013,34822.1
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2014,39047.5
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2015,44711.5
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2016,48524.6
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2017,54383.3
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2018,59202.2
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2019,67019.3
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2020,38604.60773236613
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2021,23690.43674506686
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2022,57696.65566157679
Doanh thu của các cơ sở lưu trú (Tỷ đồng),2023,76921.5134122771
Doanh thu của các cơ sở lưu trú (Tỷ đồng),Sơ bộ 2024,94101.41366635587
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2000,1190
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2001,2009
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2002,2430.4
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2003,2633.2
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2004,3302.1
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2005,4761.2
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2006,5304.7
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2007,7712
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2008,8409.6
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2009,10278.4
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2010,15539.3
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2011,18091.6
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2012,18852.9
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2013,24820.6
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2014,27799.4
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2015,30444.1
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2016,32530.3
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2017,36111.8
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2018,40371.2
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2019,44669.90000000001
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2020,16492.03117684911
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2021,8998.841837037206
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2022,43505.50996945329
Doanh thu của các cơ sở lữ hành (Tỷ đồng),2023,64035.79412091208
Doanh thu của các cơ sở lữ hành (Tỷ đồng),Sơ bộ 2024,78990.46791083239
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2000,10330
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2001,14092
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2002,19610.6
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2003,20684.2
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2004,24102.2
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2005,26905.1
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2006,28107.3
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2007,35058.9
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2008,40351.9
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2009,54323.4
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2010,66535.2
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2011,71216.3
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2012,79680
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2013,87432.9
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2014,100441.5
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2015,114011
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2016,129735.2
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2017,146585.2
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2018,159640.6
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2019,179365.489945
