Sản phẩm,Năm,Giá trị
Hàng thủy sản (Triệu đô la Mỹ),1995,621.4
Hàng thủy sản (Triệu đô la Mỹ),1996,696.5
Hàng thủy sản (Triệu đô la Mỹ),1997,782
Hàng thủy sản (Triệu đô la Mỹ),1998,858
Hàng thủy sản (Triệu đô la Mỹ),1999,973.6
Hàng thủy sản (Triệu đô la Mỹ),2000,1478.5
Hàng thủy sản (Triệu đô la Mỹ),2001,1816.4
Hàng thủy sản (Triệu đô la Mỹ),2002,2021.7
Hàng thủy sản (Triệu đô la Mỹ),2003,2199.6
Hàng thủy sản (Triệu đô la Mỹ),2004,2408.1
Hàng thủy sản (Triệu đô la Mỹ),2005,2732.5
Hàng thủy sản (Triệu đô la Mỹ),2006,3358
Hàng thủy sản (Triệu đô la Mỹ),2007,3763.4
Hàng thủy sản (Triệu đô la Mỹ),2008,4510.1
Hàng thủy sản (Triệu đô la Mỹ),2009,4255.3
Hàng thủy sản (Triệu đô la Mỹ),2010,5016.9
Hàng thủy sản (Triệu đô la Mỹ),2011,6112.4
Hàng thủy sản (Triệu đô la Mỹ),2012,6088.50725871
Hàng thủy sản (Triệu đô la Mỹ),2013,6692.6
Hàng thủy sản (Triệu đô la Mỹ),2014,7825.3
Hàng thủy sản (Triệu đô la Mỹ),2015,6568.8
Hàng thủy sản (Triệu đô la Mỹ),2016,7036.021
Hàng thủy sản (Triệu đô la Mỹ),2017,8349.159
Hàng thủy sản (Triệu đô la Mỹ),2018,8770.9971664
Hàng thủy sản (Triệu đô la Mỹ),2019,8514.02088762
Hàng thủy sản (Triệu đô la Mỹ),2020,8388.95389303
Hàng thủy sản (Triệu đô la Mỹ),2021,8853.33736303
Hàng thủy sản (Triệu đô la Mỹ),2022,10895.34583022
Hàng thủy sản (Triệu đô la Mỹ),2023,8934.5422041
Hàng thủy sản (Triệu đô la Mỹ),Sơ bộ 2024,10039.624976
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",1995,56.1
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",1996,90.2
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",1997,71.2
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",1998,52.6
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",1999,106.6
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2000,213.1
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2001,344.3
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2002,221.2
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2003,151.5
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2004,177.7
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2005,235.5
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2006,259.1
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2007,305.6
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2008,406.5
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2009,438.9
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2010,460.3
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2011,622.6
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2012,827.04327292
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2013,1073.226
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2014,1488.995
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2015,1839.3
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2016,2460.93364209
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2017,3507.547
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2018,3814.5879587
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2019,3704.10748225
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2020,3271.62957956
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2021,3545.25199526
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2022,3316.71169331
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",2023,5614.02475357
"Hàng rau, hoa, quả (Triệu đô la Mỹ)",Sơ bộ 2024,7145.55216
Hạt điều nhân (Triệu đô la Mỹ),1995,
Hạt điều nhân (Triệu đô la Mỹ),1996,
Hạt điều nhân (Triệu đô la Mỹ),1997,
Hạt điều nhân (Triệu đô la Mỹ),1998,
Hạt điều nhân (Triệu đô la Mỹ),1999,
Hạt điều nhân (Triệu đô la Mỹ),2000,
Hạt điều nhân (Triệu đô la Mỹ),2001,
Hạt điều nhân (Triệu đô la Mỹ),2002,
Hạt điều nhân (Triệu đô la Mỹ),2003,
Hạt điều nhân (Triệu đô la Mỹ),2004,
Hạt điều nhân (Triệu đô la Mỹ),2005,
Hạt điều nhân (Triệu đô la Mỹ),2006,
Hạt điều nhân (Triệu đô la Mỹ),2007,
Hạt điều nhân (Triệu đô la Mỹ),2008,
Hạt điều nhân (Triệu đô la Mỹ),2009,
Hạt điều nhân (Triệu đô la Mỹ),2010,1136.9
Hạt điều nhân (Triệu đô la Mỹ),2011,1473.2
Hạt điều nhân (Triệu đô la Mỹ),2012,1470.115
Hạt điều nhân (Triệu đô la Mỹ),2013,1646.126
Hạt điều nhân (Triệu đô la Mỹ),2014,1993.558
Hạt điều nhân (Triệu đô la Mỹ),2015,2397.6
Hạt điều nhân (Triệu đô la Mỹ),2016,2841.454
Hạt điều nhân (Triệu đô la Mỹ),2017,3515.308
Hạt điều nhân (Triệu đô la Mỹ),2018,3368.1660955
Hạt điều nhân (Triệu đô la Mỹ),2019,3335.88132987
Hạt điều nhân (Triệu đô la Mỹ),2020,3213.87974462
Hạt điều nhân (Triệu đô la Mỹ),2021,3645.02429422
Hạt điều nhân (Triệu đô la Mỹ),2022,3087.36381187
Hạt điều nhân (Triệu đô la Mỹ),2023,3632.92725802
Hạt điều nhân (Triệu đô la Mỹ),Sơ bộ 2024,4342.823561
