"Khối nước, nước và vùng lãnh thổ chủ yếu",Năm,Giá trị
TỔNG SỐ,1995,8155.4
TỔNG SỐ,1996,11143.6
TỔNG SỐ,1997,11592.3
TỔNG SỐ,1998,11499.6
TỔNG SỐ,1999,11742.1
TỔNG SỐ,2000,15636.5
TỔNG SỐ,2001,16218
TỔNG SỐ,2002,19745.6
TỔNG SỐ,2003,25255.8
TỔNG SỐ,2004,31968.8
TỔNG SỐ,2005,36761.1
TỔNG SỐ,2006,44891.1
TỔNG SỐ,2007,62764.7
TỔNG SỐ,2008,80713.8
TỔNG SỐ,2009,69948.8
TỔNG SỐ,2010,84838.6
TỔNG SỐ,2011,106749.8
TỔNG SỐ,2012,113780.4
TỔNG SỐ,2013,132032.6
TỔNG SỐ,2014,147849.1
TỔNG SỐ,2015,165775.873
TỔNG SỐ,2016,174978.374
TỔNG SỐ,2017,213215.324
TỔNG SỐ,2018,237241.5518952
TỔNG SỐ,2019,253696.499
TỔNG SỐ,2020,262791.04604247
TỔNG SỐ,2021,332969.689169964
TỔNG SỐ,2022,359780.1473307
TỔNG SỐ,2023,326606.9
TỔNG SỐ,Sơ bộ 2024,380990.6
ASEAN,1995,2270.1
ASEAN,1996,2905.53
ASEAN,1997,3220.49
ASEAN,1998,3344.4
ASEAN,1999,3290.9
ASEAN,2000,4449
ASEAN,2001,4172.3
ASEAN,2002,4769.2
ASEAN,2003,5949.3
ASEAN,2004,7768.5
ASEAN,2005,9326.3
ASEAN,2006,12546.6
ASEAN,2007,15908.2
ASEAN,2008,19567.7
ASEAN,2009,16461.3
ASEAN,2010,16407.5
ASEAN,2011,20910.2
ASEAN,2012,20820.3
ASEAN,2013,21287.1
ASEAN,2014,22918.5
ASEAN,2015,23785.895
ASEAN,2016,24085.90305973
ASEAN,2017,28363.29
ASEAN,2018,31879.9456706
ASEAN,2019,32260.61740587
ASEAN,2020,30484.88765447
ASEAN,2021,41197.75913486
ASEAN,2022,47312.16038926
ASEAN,2023,41013.114
ASEAN,Sơ bộ 2024,46965.49913
APEC,1995,6493.6
APEC,1996,8959.066
APEC,1997,9391.503
APEC,1998,9444.498
APEC,1999,9578.8
APEC,2000,13242.9
APEC,2001,13185.9
APEC,2002,16296.8
APEC,2003,20560.1
APEC,2004,26386
APEC,2005,30686.8
APEC,2006,37467.7
APEC,2007,52637.9
APEC,2008,67232.2
APEC,2009,58925.1
APEC,2010,69924.6
APEC,2011,86518.6
APEC,2012,94259.8
APEC,2013,108579
APEC,2014,122467.5
APEC,2015,137971.046
APEC,2016,146836.366714871
APEC,2017,180055
APEC,2018,199039.1217776
APEC,2019,212550.31105086
APEC,2020,220538.43017541
APEC,2021,274726.94364628
APEC,2022,298512.22463233
APEC,2023,267659.88019102
APEC,Sơ bộ 2024,
EU,1995,710.4
EU,1996,1153.205
EU,1997,1335.212
EU,1998,1246.276
EU,1999,1094.9
EU,2000,1317.4
EU,2001,1506.3
EU,2002,1840.6
EU,2003,2477.7
EU,2004,2681.8
EU,2005,2581.2
EU,2006,3129.2
EU,2007,5142.4
EU,2008,5581.5
EU,2009,5343.3
EU,2010,6361.7
EU,2011,7745.8
EU,2012,8791
EU,2013,9425.6
EU,2014,8842.7
EU,2015,10450.282
EU,2016,11169.61234338
EU,2017,12201.794
EU,2018,13949.7105795
EU,2019,14097.24588466
EU,2020,14660.26549964
EU,2021,16862.45916135
EU,2022,15423.64870743
EU,2023,14937.17138772
EU,Sơ bộ 2024,16739.8
OPEC,1995,213.7
OPEC,1996,207.159
OPEC,1997,317.71
OPEC,1998,337.155
OPEC,1999,396.8
OPEC,2000,525.9
OPEC,2001,435.8
OPEC,2002,628.6
OPEC,2003,878
OPEC,2004,1122
OPEC,2005,1301
OPEC,2006,1408.8
OPEC,2007,1758.6
OPEC,2008,2346.9
OPEC,2009,710.5
OPEC,2010,1440
OPEC,2011,2282.2
OPEC,2012,2314.6
OPEC,2013,2622.8
OPEC,2014,2801.3
OPEC,2015,2104.187
OPEC,2016,2169.48367833
OPEC,2017,2748.831
OPEC,2018,5300.3426829
OPEC,2019,5780.43931744
OPEC,2020,5311.74288533
OPEC,2021,7823.73286291
OPEC,2022,10207.56593971
OPEC,2023,9267.15694623
OPEC,Sơ bộ 2024,
Bru-nây,1995,
Bru-nây,1996,
Bru-nây,1997,
Bru-nây,1998,
Bru-nây,1999,
Bru-nây,2000,
Bru-nây,2001,
Bru-nây,2002,
Bru-nây,2003,
Bru-nây,2004,
Bru-nây,2005,
Bru-nây,2006,
Bru-nây,2007,
Bru-nây,2008,
Bru-nây,2009,
Bru-nây,2010,10
Bru-nây,2011,189.2
Bru-nây,2012,610.6
Bru-nây,2013,607
Bru-nây,2014,102.3
Bru-nây,2015,48.10850416
Bru-nây,2016,70.50947054
Bru-nây,2017,51.656
Bru-nây,2018,36.6688248
Bru-nây,2019,192.14021019
Bru-nây,2020,265.55353588
Bru-nây,2021,258.14994957
Bru-nây,2022,634.90511255
Bru-nây,2023,175.2507166
Bru-nây,Sơ bộ 2024,526.895618
Cam-pu-chia,1995,23.5
Cam-pu-chia,1996,17.86
Cam-pu-chia,1997,24.679
Cam-pu-chia,1998,42.06
Cam-pu-chia,1999,12.7
Cam-pu-chia,2000,37.3
Cam-pu-chia,2001,22.8
Cam-pu-chia,2002,65.4
Cam-pu-chia,2003,94.7
Cam-pu-chia,2004,130.6
Cam-pu-chia,2005,160.2
Cam-pu-chia,2006,169.5
Cam-pu-chia,2007,205.5
Cam-pu-chia,2008,214.3
Cam-pu-chia,2009,197.1
Cam-pu-chia,2010,276.6
Cam-pu-chia,2011,429.6
Cam-pu-chia,2012,542.6
Cam-pu-chia,2013,503.6
Cam-pu-chia,2014,623.4
Cam-pu-chia,2015,949.48386616
Cam-pu-chia,2016,728.82802979
Cam-pu-chia,2017,1032.588
Cam-pu-chia,2018,972.0836069
Cam-pu-chia,2019,903.53666562
Cam-pu-chia,2020,1179.785773
Cam-pu-chia,2021,4710.75445516
Cam-pu-chia,2022,4823.14114759
Cam-pu-chia,2023,3669.42835709
Cam-pu-chia,Sơ bộ 2024,4780.118827
In-đô-nê-xi-a,1995,190
In-đô-nê-xi-a,1996,148.987
In-đô-nê-xi-a,1997,199.971
In-đô-nê-xi-a,1998,256.492
In-đô-nê-xi-a,1999,286.8
In-đô-nê-xi-a,2000,345.4
In-đô-nê-xi-a,2001,288.9
In-đô-nê-xi-a,2002,362.6
In-đô-nê-xi-a,2003,551.5
In-đô-nê-xi-a,2004,663.3
In-đô-nê-xi-a,2005,700
In-đô-nê-xi-a,2006,1012.8
In-đô-nê-xi-a,2007,1353.9
In-đô-nê-xi-a,2008,1728.9
In-đô-nê-xi-a,2009,1452.7
In-đô-nê-xi-a,2010,1909.2
In-đô-nê-xi-a,2011,2247.6
In-đô-nê-xi-a,2012,2247.4
In-đô-nê-xi-a,2013,2367.4
In-đô-nê-xi-a,2014,2488.5
In-đô-nê-xi-a,2015,2740.33631326
In-đô-nê-xi-a,2016,2992.4775868
In-đô-nê-xi-a,2017,3656.305
In-đô-nê-xi-a,2018,4938.3603172
In-đô-nê-xi-a,2019,5723.10127385
In-đô-nê-xi-a,2020,5381.80310665
In-đô-nê-xi-a,2021,7614.78772345
In-đô-nê-xi-a,2022,9627.78436796
In-đô-nê-xi-a,2023,8732.34638893
In-đô-nê-xi-a,Sơ bộ 2024,10517.004228
Lào,1995,84
Lào,1996,68.089
Lào,1997,52.676
Lào,1998,131.417
Lào,1999,197.4
Lào,2000,105.7
Lào,2001,68
Lào,2002,62.6
Lào,2003,60.7
Lào,2004,74.3
Lào,2005,97.5
Lào,2006,166.6
Lào,2007,211.3
Lào,2008,278.7
Lào,2009,254.2
Lào,2010,291.7
Lào,2011,460
Lào,2012,450.9
Lào,2013,668.7
Lào,2014,802.1
Lào,2015,588.32257622
Lào,2016,347.11250634
Lào,2017,370.609
Lào,2018,438.4561483
Lào,2019,462.36498906
Lào,2020,458.15983323
Lào,2021,777.97805932
