Cách tính,Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,1995,8155.4
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,1996,11143.6
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,1997,11592.338
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,1998,11499.621
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,1999,11742.055
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2000,15636.5
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2001,16217.9
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2002,19745.6
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2003,25255.8
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2004,31968.8
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2005,36761.1
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2006,44891.1
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2007,62764.7
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2008,80713.8
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2009,69948.8
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2010,84838.6
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2011,106749.8
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2012,113780.4
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2013,132032.6
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2014,147849.1
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2015,165775.9
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2016,174978.4
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2017,213215.3
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2018,237241.6
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2019,253696.5
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2020,262791
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2021,332969.6891699636
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2022,359780.1
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,2023,326606.9
Trị giá (Triệu đô la Mỹ),TỔNG TRỊ GIÁ,Sơ bộ 2024,380990.6
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1995,1914.5
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1996,2145.6
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1997,2136.451
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1998,1982.839
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1999,2264.536
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2000,3527.6
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2001,3686.1
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2002,4200.6
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2003,5282.7
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2004,7317.5
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2005,9308.2
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2006,11481.3
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2007,15420.8
