Giá trị và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,1995,8155.4
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,1996,11143.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,1997,11592.3
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,1998,11499.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,1999,11742.1
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2000,15636.5
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2001,16218
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2002,19745.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2003,25255.8
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2004,31968.8
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2005,36761.1
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2006,44891.1
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2007,62764.7
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2008,80713.8
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2009,69948.8
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2010,84838.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2011,106749.8
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2012,113780.4
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2013,132032.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2014,147849.1
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2015,165775.9
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2016,174978.4
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2017,213215.3
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2018,237241.6
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2019,253696.5
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2020,262791.04604247
Giá trị (Triệu đô la Mỹ),TỔNG SỐ,2021,332969.6891708952
