"Khối nước, nước và vùng lãnh thổ",Năm,Giá trị
TỔNG SỐ,1995,5448.9
TỔNG SỐ,1996,7255.9
TỔNG SỐ,1997,9185
TỔNG SỐ,1998,9360.3
TỔNG SỐ,1999,11541.4
TỔNG SỐ,2000,14482.7
TỔNG SỐ,2001,15029.2
TỔNG SỐ,2002,16706.1
TỔNG SỐ,2003,20149.3
TỔNG SỐ,2004,26485
TỔNG SỐ,2005,32447.1
TỔNG SỐ,2006,39826.2
TỔNG SỐ,2007,48561.4
TỔNG SỐ,2008,62685.1
TỔNG SỐ,2009,57096.3
TỔNG SỐ,2010,72236.7
TỔNG SỐ,2011,96905.7
TỔNG SỐ,2012,114529.2
TỔNG SỐ,2013,132032.9
TỔNG SỐ,2014,150217.1
TỔNG SỐ,2015,162016.7
TỔNG SỐ,2016,176580.8
TỔNG SỐ,2017,215118.6
TỔNG SỐ,2018,243696.8
TỔNG SỐ,2019,264267.211
TỔNG SỐ,2020,282628.93845938
TỔNG SỐ,2021,336166.83951
TỔNG SỐ,2022,371715.372736
TỔNG SỐ,2023,354721
TỔNG SỐ,Sơ bộ 2024,405935.4
ASEAN,1995,996.9
ASEAN,1996,1652.825
ASEAN,1997,1913.548
ASEAN,1998,1944.982
ASEAN,1999,2516.3
ASEAN,2000,2619
ASEAN,2001,2553.6
ASEAN,2002,2434.9
ASEAN,2003,2953.3
ASEAN,2004,4056.1
ASEAN,2005,5743.5
ASEAN,2006,6632.6
ASEAN,2007,8110.3
ASEAN,2008,10337.7
ASEAN,2009,8761.3
ASEAN,2010,10364.7
ASEAN,2011,13656
ASEAN,2012,17426.5
ASEAN,2013,18584.4
ASEAN,2014,19106.8
ASEAN,2015,18195.1
ASEAN,2016,17449.2
ASEAN,2017,21680.2
ASEAN,2018,24854.2
ASEAN,2019,25266.48483673
ASEAN,2020,23411.26458482
ASEAN,2021,28866.35447609
ASEAN,2022,34762.59657457
ASEAN,2023,32345.53652952
ASEAN,Sơ bộ 2024,36990.278142
APEC,1995,3998.2
APEC,1996,5262.207
APEC,1997,6322.589
APEC,1998,6129.098
APEC,1999,7486.2
APEC,2000,10097.6
APEC,2001,10084
APEC,2002,11966.9
APEC,2003,14832
APEC,2004,19502.3
APEC,2005,24169.7
APEC,2006,29337.9
APEC,2007,35048.8
APEC,2008,44213.1
APEC,2009,38802.1
APEC,2010,49354.6
APEC,2011,65182.4
APEC,2012,78028.3
APEC,2013,87072.5
APEC,2014,98499.2
APEC,2015,106607.5
APEC,2016,119741.9
APEC,2017,148891.3
APEC,2018,170305.8
APEC,2019,188872.30824271
APEC,2020,213283.6888321
APEC,2021,254532.34811527
APEC,2022,280485.46419456
APEC,2023,264954.15675827
APEC,Sơ bộ 2024,
EU,1995,664.2
EU,1996,848.517
EU,1997,1607.844
EU,1998,2079.041
EU,1999,2515.3
EU,2000,2845.1
EU,2001,3002.9
EU,2002,3162.5
EU,2003,3852.6
EU,2004,4968.4
EU,2005,5517
EU,2006,7094
EU,2007,9096.4
EU,2008,10895.8
EU,2009,9402.3
EU,2010,11385.5
EU,2011,16541.3
EU,2012,20302
EU,2013,24324.1
EU,2014,27895.5
EU,2015,30928.3
EU,2016,34002.2
EU,2017,38286.4
EU,2018,41986
EU,2019,35779.93720568
EU,2020,35146.3632348
EU,2021,40122.92335312
EU,2022,46753.81219282
EU,2023,43644.50701078
EU,Sơ bộ 2024,51777.148563
OPEC,1995,131.7
OPEC,1996,212.404
OPEC,1997,199.306
OPEC,1998,554.75
OPEC,1999,713.4
OPEC,2000,643.2
OPEC,2001,757.7
OPEC,2002,861.5
OPEC,2003,759.3
OPEC,2004,813.5
OPEC,2005,877.5
OPEC,2006,1415.9
OPEC,2007,1687.3
