Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
TỔNG SỐ,1995,5449
TỔNG SỐ,1996,7255.9
TỔNG SỐ,1997,9184.995
TỔNG SỐ,1998,9360.261
TỔNG SỐ,1999,11541.358
TỔNG SỐ,2000,14482.7
TỔNG SỐ,2001,15029.2
TỔNG SỐ,2002,16706.1
TỔNG SỐ,2003,20149.3
TỔNG SỐ,2004,26485
TỔNG SỐ,2005,32447.1
TỔNG SỐ,2006,39826.2
TỔNG SỐ,2007,48561.4
TỔNG SỐ,2008,62685.1
TỔNG SỐ,2009,57096.3
TỔNG SỐ,2010,72236.7
TỔNG SỐ,2011,96905.7
TỔNG SỐ,2012,114529.2
TỔNG SỐ,2013,132032.9
TỔNG SỐ,2014,150217.1
TỔNG SỐ,2015,162016.7
TỔNG SỐ,2016,176580.8
TỔNG SỐ,2017,215118.6
TỔNG SỐ,2018,243696.8
TỔNG SỐ,2019,264267.21074816
TỔNG SỐ,2020,282628.93845943
TỔNG SỐ,2021,336166.83951
TỔNG SỐ,2022,371715.4
TỔNG SỐ,2023,354721
TỔNG SỐ,Sơ bộ 2024,405935.4
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1995,3664.1
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1996,4537.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1997,4780.928
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1998,5006.406
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",1999,5996.169
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2000,8078.8
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2001,8009.8
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2002,8289.5
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2003,9397.2
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2004,12554.1
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2005,16100.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2006,19226.8
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2007,21657.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2008,27698.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2009,22266.1
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2010,25187.5
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2011,33736.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2012,35200.9
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2013,33782.6
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2014,35734.5
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2015,30299.3
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2016,30467.2
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2017,36045.6
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2018,37492.1
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2019,36880.1174262345
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2020,34886.40974607842
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2021,39907.9
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2022,45861.3
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2023,47231.7
"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",Sơ bộ 2024,55546.5
"Lương thực, thực phẩm và động vật sống",1995,2064.2
"Lương thực, thực phẩm và động vật sống",1996,2424.1
"Lương thực, thực phẩm và động vật sống",1997,2691.92
"Lương thực, thực phẩm và động vật sống",1998,3158.112
"Lương thực, thực phẩm và động vật sống",1999,3283.846
"Lương thực, thực phẩm và động vật sống",2000,3779.5
"Lương thực, thực phẩm và động vật sống",2001,4051.6
"Lương thực, thực phẩm và động vật sống",2002,4117.6
"Lương thực, thực phẩm và động vật sống",2003,4432
"Lương thực, thực phẩm và động vật sống",2004,5277.6
"Lương thực, thực phẩm và động vật sống",2005,6345.7
"Lương thực, thực phẩm và động vật sống",2006,7509.2
"Lương thực, thực phẩm và động vật sống",2007,9191.7
"Lương thực, thực phẩm và động vật sống",2008,12164.3
"Lương thực, thực phẩm và động vật sống",2009,11514.6
"Lương thực, thực phẩm và động vật sống",2010,13432.5
"Lương thực, thực phẩm và động vật sống",2011,17442.9
"Lương thực, thực phẩm và động vật sống",2012,18812.6
"Lương thực, thực phẩm và động vật sống",2013,18561.2
"Lương thực, thực phẩm và động vật sống",2014,21546.6
"Lương thực, thực phẩm và động vật sống",2015,20339.5
"Lương thực, thực phẩm và động vật sống",2016,22041.2
"Lương thực, thực phẩm và động vật sống",2017,25397.1
"Lương thực, thực phẩm và động vật sống",2018,26142
"Lương thực, thực phẩm và động vật sống",2019,25000.883821915
"Lương thực, thực phẩm và động vật sống",2020,24909.1058729113
"Lương thực, thực phẩm và động vật sống",2021,27451.4
"Lương thực, thực phẩm và động vật sống",2022,30221
"Lương thực, thực phẩm và động vật sống",2023,33193.8
"Lương thực, thực phẩm và động vật sống",Sơ bộ 2024,41668
Đồ uống và thuốc lá,1995,5
Đồ uống và thuốc lá,1996,7
Đồ uống và thuốc lá,1997,33.804
Đồ uống và thuốc lá,1998,4.923
Đồ uống và thuốc lá,1999,14.994
Đồ uống và thuốc lá,2000,18.8
Đồ uống và thuốc lá,2001,45.5
Đồ uống và thuốc lá,2002,75.2
Đồ uống và thuốc lá,2003,159.8
Đồ uống và thuốc lá,2004,174
Đồ uống và thuốc lá,2005,150
Đồ uống và thuốc lá,2006,143.5
Đồ uống và thuốc lá,2007,155.1
Đồ uống và thuốc lá,2008,190.8
Đồ uống và thuốc lá,2009,237.8
Đồ uống và thuốc lá,2010,301.3
Đồ uống và thuốc lá,2011,358
Đồ uống và thuốc lá,2012,464.3
Đồ uống và thuốc lá,2013,538.1
Đồ uống và thuốc lá,2014,540.4
Đồ uống và thuốc lá,2015,568.4
Đồ uống và thuốc lá,2016,538.6
Đồ uống và thuốc lá,2017,537.1
Đồ uống và thuốc lá,2018,619.4
Đồ uống và thuốc lá,2019,697.98044325
Đồ uống và thuốc lá,2020,520.7494959677013
Đồ uống và thuốc lá,2021,545.6
Đồ uống và thuốc lá,2022,597
Đồ uống và thuốc lá,2023,758.7
Đồ uống và thuốc lá,Sơ bộ 2024,864.6
"NVL thô, không dùng để ăn, trừ nhiên liệu",1995,370.5
"NVL thô, không dùng để ăn, trừ nhiên liệu",1996,499.6
"NVL thô, không dùng để ăn, trừ nhiên liệu",1997,376.668
"NVL thô, không dùng để ăn, trừ nhiên liệu",1998,283.079
"NVL thô, không dùng để ăn, trừ nhiên liệu",1999,302.233
"NVL thô, không dùng để ăn, trừ nhiên liệu",2000,384
"NVL thô, không dùng để ăn, trừ nhiên liệu",2001,412.6
"NVL thô, không dùng để ăn, trừ nhiên liệu",2002,516.5
"NVL thô, không dùng để ăn, trừ nhiên liệu",2003,631.3
"NVL thô, không dùng để ăn, trừ nhiên liệu",2004,830.9
"NVL thô, không dùng để ăn, trừ nhiên liệu",2005,1229.1
"NVL thô, không dùng để ăn, trừ nhiên liệu",2006,1845.3
"NVL thô, không dùng để ăn, trừ nhiên liệu",2007,2199.8
"NVL thô, không dùng để ăn, trừ nhiên liệu",2008,2491.7
"NVL thô, không dùng để ăn, trừ nhiên liệu",2009,1928.3
"NVL thô, không dùng để ăn, trừ nhiên liệu",2010,3373.8
"NVL thô, không dùng để ăn, trừ nhiên liệu",2011,4716.1
"NVL thô, không dùng để ăn, trừ nhiên liệu",2012,4254.2
"NVL thô, không dùng để ăn, trừ nhiên liệu",2013,4742.3
"NVL thô, không dùng để ăn, trừ nhiên liệu",2014,4146.4
"NVL thô, không dùng để ăn, trừ nhiên liệu",2015,4108.2
"NVL thô, không dùng để ăn, trừ nhiên liệu",2016,4142
"NVL thô, không dùng để ăn, trừ nhiên liệu",2017,5098.7
"NVL thô, không dùng để ăn, trừ nhiên liệu",2018,5656.7
"NVL thô, không dùng để ăn, trừ nhiên liệu",2019,6254.0601184895
"NVL thô, không dùng để ăn, trừ nhiên liệu",2020,6156.694505841349
"NVL thô, không dùng để ăn, trừ nhiên liệu",2021,7605.7
"NVL thô, không dùng để ăn, trừ nhiên liệu",2022,9251.9
"NVL thô, không dùng để ăn, trừ nhiên liệu",2023,8106.3
"NVL thô, không dùng để ăn, trừ nhiên liệu",Sơ bộ 2024,9537.4
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1995,1210.6
