Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,1995,5448.9
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,1996,7255.9
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,1997,9185
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,1998,9360.3
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,1999,11541.4
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2000,14482.7
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2001,15029.2
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2002,16706.1
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2003,20149.3
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2004,26485
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2005,32447.1
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2006,39826.2
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2007,48561.4
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2008,62685.1
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2009,57096.3
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2010,72236.7
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2011,96905.7
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2012,114529.2
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2013,132032.9
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2014,150217.1
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2015,162016.7
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2016,176580.8
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2017,215118.6
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2018,243696.8
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2019,264267.211
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2020,282628.93845943
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2021,336166.83951
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2022,371715.4
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,2023,354721
Trị giá (Triệu đô la Mỹ),TỔNG SỐ,Sơ bộ 2024,405935.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,1995,3975.8
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,1996,5100.9
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,1997,5972
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,1998,6145.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,1999,6859.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2000,7672.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2001,8230.9
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2002,8834.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2003,9988.1
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2004,11997.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2005,13893.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2006,16764.9
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2007,20786.8
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2008,28162.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2009,26724
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2010,33084.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2011,41781.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2012,42277.2
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2013,43882.7
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2014,49037.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2015,47636.3
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2016,50345.2
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2017,60208.4
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2018,69733.1
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2019,78989.269
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2020,78196.8
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2021,89290.04527921995
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2022,95842.6
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,2023,95655.9
Trị giá (Triệu đô la Mỹ),Khu vực kinh tế trong nước,Sơ bộ 2024,114910.4
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),1995,1473.1
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),1996,2155
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),1997,3213
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),1998,3215
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),1999,4682
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2000,6810.3
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2001,6798.3
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2002,7871.8
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2003,10161.2
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2004,14487.7
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2005,18553.7
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2006,23061.3
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2007,27774.6
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2008,34522.8
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2009,30372.3
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2010,39152.4
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2011,55124.3
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2012,72252
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2013,88150.2
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2014,101179.8
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2015,114380.4
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2016,126235.6
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2017,154910.2
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2018,173963.7
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2019,185277.942
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2020,204432.065
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2021,246876.79423078
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2022,275872.8
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),2023,259065.1
Trị giá (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài(*),Sơ bộ 2024,291025
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,1995,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,1996,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,1997,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,1998,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,1999,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2000,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2001,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2002,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2003,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2004,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2005,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2006,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2007,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2008,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2009,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2010,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2011,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2012,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2013,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2014,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2015,5307.853854099997
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2016,3837.48053309
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2017,5167.395179399999
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2018,5239.159192400001
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2019,5054.355
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2020,3407.23
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2021,4209.063108609043
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2022,5313.3
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2023,4854.5
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,Sơ bộ 2024,3381.6
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1995,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1996,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1997,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1998,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1999,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2000,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2001,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2002,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2003,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2004,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2005,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2006,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2007,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2008,
