Giá trị và chỉ số phát triển,Năm,"Xuất, nhập khẩu",Giá trị
Giá trị (Triệu đô la Mỹ),1990,Tổng số,5156.4
Giá trị (Triệu đô la Mỹ),1990,Xuất khẩu,2404
Giá trị (Triệu đô la Mỹ),1990,Nhập khẩu,2752.4
Giá trị (Triệu đô la Mỹ),1990,Cân đối (*),-348.4
Giá trị (Triệu đô la Mỹ),1991,Tổng số,4425.2
Giá trị (Triệu đô la Mỹ),1991,Xuất khẩu,2087.1
Giá trị (Triệu đô la Mỹ),1991,Nhập khẩu,2338.1
Giá trị (Triệu đô la Mỹ),1991,Cân đối (*),-251
Giá trị (Triệu đô la Mỹ),1992,Tổng số,5121.5
Giá trị (Triệu đô la Mỹ),1992,Xuất khẩu,2580.7
Giá trị (Triệu đô la Mỹ),1992,Nhập khẩu,2540.8
Giá trị (Triệu đô la Mỹ),1992,Cân đối (*),39.9
Giá trị (Triệu đô la Mỹ),1993,Tổng số,6909.1
Giá trị (Triệu đô la Mỹ),1993,Xuất khẩu,2985.2
Giá trị (Triệu đô la Mỹ),1993,Nhập khẩu,3923.9
Giá trị (Triệu đô la Mỹ),1993,Cân đối (*),-938.7
Giá trị (Triệu đô la Mỹ),1994,Tổng số,9880.1
Giá trị (Triệu đô la Mỹ),1994,Xuất khẩu,4054.3
Giá trị (Triệu đô la Mỹ),1994,Nhập khẩu,5825.8
Giá trị (Triệu đô la Mỹ),1994,Cân đối (*),-1771.5
Giá trị (Triệu đô la Mỹ),1995,Tổng số,13604.3
Giá trị (Triệu đô la Mỹ),1995,Xuất khẩu,5448.9
Giá trị (Triệu đô la Mỹ),1995,Nhập khẩu,8155.4
Giá trị (Triệu đô la Mỹ),1995,Cân đối (*),-2706.5
Giá trị (Triệu đô la Mỹ),1996,Tổng số,18399.4
Giá trị (Triệu đô la Mỹ),1996,Xuất khẩu,7255.8
Giá trị (Triệu đô la Mỹ),1996,Nhập khẩu,11143.6
Giá trị (Triệu đô la Mỹ),1996,Cân đối (*),-3887.8
Giá trị (Triệu đô la Mỹ),1997,Tổng số,20777.3
Giá trị (Triệu đô la Mỹ),1997,Xuất khẩu,9185
Giá trị (Triệu đô la Mỹ),1997,Nhập khẩu,11592.3
Giá trị (Triệu đô la Mỹ),1997,Cân đối (*),-2407.3
Giá trị (Triệu đô la Mỹ),1998,Tổng số,20859.9
Giá trị (Triệu đô la Mỹ),1998,Xuất khẩu,9360.3
Giá trị (Triệu đô la Mỹ),1998,Nhập khẩu,11499.6
Giá trị (Triệu đô la Mỹ),1998,Cân đối (*),-2139.3
Giá trị (Triệu đô la Mỹ),1999,Tổng số,23283.5
Giá trị (Triệu đô la Mỹ),1999,Xuất khẩu,11541.4
Giá trị (Triệu đô la Mỹ),1999,Nhập khẩu,11742.1
Giá trị (Triệu đô la Mỹ),1999,Cân đối (*),-200.7
Giá trị (Triệu đô la Mỹ),2000,Tổng số,30119.2
Giá trị (Triệu đô la Mỹ),2000,Xuất khẩu,14482.7
Giá trị (Triệu đô la Mỹ),2000,Nhập khẩu,15636.5
Giá trị (Triệu đô la Mỹ),2000,Cân đối (*),-1153.8
Giá trị (Triệu đô la Mỹ),2001,Tổng số,31247.1
Giá trị (Triệu đô la Mỹ),2001,Xuất khẩu,15029.2
Giá trị (Triệu đô la Mỹ),2001,Nhập khẩu,16217.9
Giá trị (Triệu đô la Mỹ),2001,Cân đối (*),-1188.7
Giá trị (Triệu đô la Mỹ),2002,Tổng số,36451.7
Giá trị (Triệu đô la Mỹ),2002,Xuất khẩu,16706.1
Giá trị (Triệu đô la Mỹ),2002,Nhập khẩu,19745.6
Giá trị (Triệu đô la Mỹ),2002,Cân đối (*),-3039.5
Giá trị (Triệu đô la Mỹ),2003,Tổng số,45405.1
Giá trị (Triệu đô la Mỹ),2003,Xuất khẩu,20149.3
Giá trị (Triệu đô la Mỹ),2003,Nhập khẩu,25255.8
Giá trị (Triệu đô la Mỹ),2003,Cân đối (*),-5106.5
Giá trị (Triệu đô la Mỹ),2004,Tổng số,58453.8
Giá trị (Triệu đô la Mỹ),2004,Xuất khẩu,26485
Giá trị (Triệu đô la Mỹ),2004,Nhập khẩu,31968.8
Giá trị (Triệu đô la Mỹ),2004,Cân đối (*),-5483.8
Giá trị (Triệu đô la Mỹ),2005,Tổng số,69208.2
Giá trị (Triệu đô la Mỹ),2005,Xuất khẩu,32447.1
Giá trị (Triệu đô la Mỹ),2005,Nhập khẩu,36761.1
Giá trị (Triệu đô la Mỹ),2005,Cân đối (*),-4314
Giá trị (Triệu đô la Mỹ),2006,Tổng số,84717.3
Giá trị (Triệu đô la Mỹ),2006,Xuất khẩu,39826.2
Giá trị (Triệu đô la Mỹ),2006,Nhập khẩu,44891.1
Giá trị (Triệu đô la Mỹ),2006,Cân đối (*),-5064.9
Giá trị (Triệu đô la Mỹ),2007,Tổng số,111326.1
Giá trị (Triệu đô la Mỹ),2007,Xuất khẩu,48561.4
Giá trị (Triệu đô la Mỹ),2007,Nhập khẩu,62764.7
Giá trị (Triệu đô la Mỹ),2007,Cân đối (*),-14203.3
Giá trị (Triệu đô la Mỹ),2008,Tổng số,143398.9
Giá trị (Triệu đô la Mỹ),2008,Xuất khẩu,62685.1
Giá trị (Triệu đô la Mỹ),2008,Nhập khẩu,80713.8
Giá trị (Triệu đô la Mỹ),2008,Cân đối (*),-18028.7
Giá trị (Triệu đô la Mỹ),2009,Tổng số,127045.1
Giá trị (Triệu đô la Mỹ),2009,Xuất khẩu,57096.3
Giá trị (Triệu đô la Mỹ),2009,Nhập khẩu,69948.8
Giá trị (Triệu đô la Mỹ),2009,Cân đối (*),-12852.5
Giá trị (Triệu đô la Mỹ),2010,Tổng số,157075.3
Giá trị (Triệu đô la Mỹ),2010,Xuất khẩu,72236.7
Giá trị (Triệu đô la Mỹ),2010,Nhập khẩu,84838.6
Giá trị (Triệu đô la Mỹ),2010,Cân đối (*),-12601.9
Giá trị (Triệu đô la Mỹ),2011,Tổng số,203655.5
Giá trị (Triệu đô la Mỹ),2011,Xuất khẩu,96905.7
Giá trị (Triệu đô la Mỹ),2011,Nhập khẩu,106749.8
Giá trị (Triệu đô la Mỹ),2011,Cân đối (*),-9844.1
Giá trị (Triệu đô la Mỹ),2012,Tổng số,228309.6
Giá trị (Triệu đô la Mỹ),2012,Xuất khẩu,114529.2
Giá trị (Triệu đô la Mỹ),2012,Nhập khẩu,113780.4
Giá trị (Triệu đô la Mỹ),2012,Cân đối (*),748.8
Giá trị (Triệu đô la Mỹ),2013,Tổng số,264065.5
Giá trị (Triệu đô la Mỹ),2013,Xuất khẩu,132032.9
Giá trị (Triệu đô la Mỹ),2013,Nhập khẩu,132032.6
Giá trị (Triệu đô la Mỹ),2013,Cân đối (*),0.3
Giá trị (Triệu đô la Mỹ),2014,Tổng số,298066.2
Giá trị (Triệu đô la Mỹ),2014,Xuất khẩu,150217.1
Giá trị (Triệu đô la Mỹ),2014,Nhập khẩu,147849.1
Giá trị (Triệu đô la Mỹ),2014,Cân đối (*),2368
Giá trị (Triệu đô la Mỹ),2015,Tổng số,327792.6
Giá trị (Triệu đô la Mỹ),2015,Xuất khẩu,162016.7
Giá trị (Triệu đô la Mỹ),2015,Nhập khẩu,165775.9
Giá trị (Triệu đô la Mỹ),2015,Cân đối (*),-3759.2
Giá trị (Triệu đô la Mỹ),2016,Tổng số,351559.2
Giá trị (Triệu đô la Mỹ),2016,Xuất khẩu,176580.8
Giá trị (Triệu đô la Mỹ),2016,Nhập khẩu,174978.4
Giá trị (Triệu đô la Mỹ),2016,Cân đối (*),1602.4
Giá trị (Triệu đô la Mỹ),2017,Tổng số,428333.9
Giá trị (Triệu đô la Mỹ),2017,Xuất khẩu,215118.6
Giá trị (Triệu đô la Mỹ),2017,Nhập khẩu,213215.3
Giá trị (Triệu đô la Mỹ),2017,Cân đối (*),1903.3
Giá trị (Triệu đô la Mỹ),2018,Tổng số,480938.4
Giá trị (Triệu đô la Mỹ),2018,Xuất khẩu,243696.8
Giá trị (Triệu đô la Mỹ),2018,Nhập khẩu,237241.6
Giá trị (Triệu đô la Mỹ),2018,Cân đối (*),6455.2
Giá trị (Triệu đô la Mỹ),2019,Tổng số,517963.71
Giá trị (Triệu đô la Mỹ),2019,Xuất khẩu,264267.211
Giá trị (Triệu đô la Mỹ),2019,Nhập khẩu,253696.499
Giá trị (Triệu đô la Mỹ),2019,Cân đối (*),10570.712
Giá trị (Triệu đô la Mỹ),2020,Tổng số,545419.9
Giá trị (Triệu đô la Mỹ),2020,Xuất khẩu,282628.9
Giá trị (Triệu đô la Mỹ),2020,Nhập khẩu,262791
Giá trị (Triệu đô la Mỹ),2020,Cân đối (*),19837.9
Giá trị (Triệu đô la Mỹ),2021,Tổng số,669136.5286799636
Giá trị (Triệu đô la Mỹ),2021,Xuất khẩu,336166.83951
Giá trị (Triệu đô la Mỹ),2021,Nhập khẩu,332969.6891699636
Giá trị (Triệu đô la Mỹ),2021,Cân đối (*),3197.150340036373
Giá trị (Triệu đô la Mỹ),2022,Tổng số,731495.5
Giá trị (Triệu đô la Mỹ),2022,Xuất khẩu,371715.4
Giá trị (Triệu đô la Mỹ),2022,Nhập khẩu,359780.1
Giá trị (Triệu đô la Mỹ),2022,Cân đối (*),11935.3
Giá trị (Triệu đô la Mỹ),2023,Tổng số,681327.9
Giá trị (Triệu đô la Mỹ),2023,Xuất khẩu,354721
Giá trị (Triệu đô la Mỹ),2023,Nhập khẩu,326606.9
Giá trị (Triệu đô la Mỹ),2023,Cân đối (*),28114.1
Giá trị (Triệu đô la Mỹ),Sơ bộ 2024,Tổng số,786926
Giá trị (Triệu đô la Mỹ),Sơ bộ 2024,Xuất khẩu,405935.4
Giá trị (Triệu đô la Mỹ),Sơ bộ 2024,Nhập khẩu,380990.6
Giá trị (Triệu đô la Mỹ),Sơ bộ 2024,Cân đối (*),24944.8
Chỉ số phát triển (Năm trước = 100) - %,1990,Tổng số,
Chỉ số phát triển (Năm trước = 100) - %,1990,Xuất khẩu,
Chỉ số phát triển (Năm trước = 100) - %,1990,Nhập khẩu,
Chỉ số phát triển (Năm trước = 100) - %,1990,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1991,Tổng số,85.8
Chỉ số phát triển (Năm trước = 100) - %,1991,Xuất khẩu,86.8
Chỉ số phát triển (Năm trước = 100) - %,1991,Nhập khẩu,84.9
Chỉ số phát triển (Năm trước = 100) - %,1991,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1992,Tổng số,115.7
Chỉ số phát triển (Năm trước = 100) - %,1992,Xuất khẩu,123.7
Chỉ số phát triển (Năm trước = 100) - %,1992,Nhập khẩu,108.7
Chỉ số phát triển (Năm trước = 100) - %,1992,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1993,Tổng số,134.9
Chỉ số phát triển (Năm trước = 100) - %,1993,Xuất khẩu,115.7
Chỉ số phát triển (Năm trước = 100) - %,1993,Nhập khẩu,154.4
Chỉ số phát triển (Năm trước = 100) - %,1993,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1994,Tổng số,143
Chỉ số phát triển (Năm trước = 100) - %,1994,Xuất khẩu,135.8
Chỉ số phát triển (Năm trước = 100) - %,1994,Nhập khẩu,148.5
Chỉ số phát triển (Năm trước = 100) - %,1994,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1995,Tổng số,137.7
Chỉ số phát triển (Năm trước = 100) - %,1995,Xuất khẩu,134.4
Chỉ số phát triển (Năm trước = 100) - %,1995,Nhập khẩu,140
Chỉ số phát triển (Năm trước = 100) - %,1995,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1996,Tổng số,135.2
Chỉ số phát triển (Năm trước = 100) - %,1996,Xuất khẩu,133.2
Chỉ số phát triển (Năm trước = 100) - %,1996,Nhập khẩu,136.6
Chỉ số phát triển (Năm trước = 100) - %,1996,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1997,Tổng số,112.9
Chỉ số phát triển (Năm trước = 100) - %,1997,Xuất khẩu,126.6
Chỉ số phát triển (Năm trước = 100) - %,1997,Nhập khẩu,104
Chỉ số phát triển (Năm trước = 100) - %,1997,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1998,Tổng số,100.4
Chỉ số phát triển (Năm trước = 100) - %,1998,Xuất khẩu,101.9
Chỉ số phát triển (Năm trước = 100) - %,1998,Nhập khẩu,99.2
Chỉ số phát triển (Năm trước = 100) - %,1998,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,1999,Tổng số,111.6
Chỉ số phát triển (Năm trước = 100) - %,1999,Xuất khẩu,123.3
Chỉ số phát triển (Năm trước = 100) - %,1999,Nhập khẩu,102.1
Chỉ số phát triển (Năm trước = 100) - %,1999,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2000,Tổng số,129.4
Chỉ số phát triển (Năm trước = 100) - %,2000,Xuất khẩu,125.5
Chỉ số phát triển (Năm trước = 100) - %,2000,Nhập khẩu,133.2
Chỉ số phát triển (Năm trước = 100) - %,2000,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2001,Tổng số,103.7
Chỉ số phát triển (Năm trước = 100) - %,2001,Xuất khẩu,103.8
Chỉ số phát triển (Năm trước = 100) - %,2001,Nhập khẩu,103.7
Chỉ số phát triển (Năm trước = 100) - %,2001,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2002,Tổng số,116.7
Chỉ số phát triển (Năm trước = 100) - %,2002,Xuất khẩu,111.2
Chỉ số phát triển (Năm trước = 100) - %,2002,Nhập khẩu,121.8
Chỉ số phát triển (Năm trước = 100) - %,2002,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2003,Tổng số,124.6
Chỉ số phát triển (Năm trước = 100) - %,2003,Xuất khẩu,120.6
Chỉ số phát triển (Năm trước = 100) - %,2003,Nhập khẩu,127.9
Chỉ số phát triển (Năm trước = 100) - %,2003,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2004,Tổng số,128.7
Chỉ số phát triển (Năm trước = 100) - %,2004,Xuất khẩu,131.4
Chỉ số phát triển (Năm trước = 100) - %,2004,Nhập khẩu,126.6
Chỉ số phát triển (Năm trước = 100) - %,2004,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2005,Tổng số,118.4
Chỉ số phát triển (Năm trước = 100) - %,2005,Xuất khẩu,122.5
Chỉ số phát triển (Năm trước = 100) - %,2005,Nhập khẩu,115
Chỉ số phát triển (Năm trước = 100) - %,2005,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2006,Tổng số,122.4
Chỉ số phát triển (Năm trước = 100) - %,2006,Xuất khẩu,122.7
Chỉ số phát triển (Năm trước = 100) - %,2006,Nhập khẩu,122.1
Chỉ số phát triển (Năm trước = 100) - %,2006,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2007,Tổng số,131.4
Chỉ số phát triển (Năm trước = 100) - %,2007,Xuất khẩu,121.9
Chỉ số phát triển (Năm trước = 100) - %,2007,Nhập khẩu,139.8
Chỉ số phát triển (Năm trước = 100) - %,2007,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2008,Tổng số,128.8
Chỉ số phát triển (Năm trước = 100) - %,2008,Xuất khẩu,129.1
Chỉ số phát triển (Năm trước = 100) - %,2008,Nhập khẩu,128.6
Chỉ số phát triển (Năm trước = 100) - %,2008,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2009,Tổng số,88.6
Chỉ số phát triển (Năm trước = 100) - %,2009,Xuất khẩu,91.1
Chỉ số phát triển (Năm trước = 100) - %,2009,Nhập khẩu,86.7
Chỉ số phát triển (Năm trước = 100) - %,2009,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2010,Tổng số,123.6
Chỉ số phát triển (Năm trước = 100) - %,2010,Xuất khẩu,126.5
Chỉ số phát triển (Năm trước = 100) - %,2010,Nhập khẩu,121.3
Chỉ số phát triển (Năm trước = 100) - %,2010,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2011,Tổng số,129.7
Chỉ số phát triển (Năm trước = 100) - %,2011,Xuất khẩu,134.2
Chỉ số phát triển (Năm trước = 100) - %,2011,Nhập khẩu,125.8
Chỉ số phát triển (Năm trước = 100) - %,2011,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2012,Tổng số,112.1
Chỉ số phát triển (Năm trước = 100) - %,2012,Xuất khẩu,118.2
Chỉ số phát triển (Năm trước = 100) - %,2012,Nhập khẩu,106.6
Chỉ số phát triển (Năm trước = 100) - %,2012,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2013,Tổng số,115.7
Chỉ số phát triển (Năm trước = 100) - %,2013,Xuất khẩu,115.3
Chỉ số phát triển (Năm trước = 100) - %,2013,Nhập khẩu,116
Chỉ số phát triển (Năm trước = 100) - %,2013,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2014,Tổng số,112.9
Chỉ số phát triển (Năm trước = 100) - %,2014,Xuất khẩu,113.8
Chỉ số phát triển (Năm trước = 100) - %,2014,Nhập khẩu,112
Chỉ số phát triển (Năm trước = 100) - %,2014,Cân đối (*),
Chỉ số phát triển (Năm trước = 100) - %,2015,Tổng số,110
Chỉ số phát triển (Năm trước = 100) - %,2015,Xuất khẩu,107.9
Chỉ số phát triển (Năm trước = 100) - %,2015,Nhập khẩu,112.1
