"Tỉnh, thành phố",Số dự án và tổng vốn đăng ký,Giá trị
CẢ NƯỚC,Số dự án,3375
CẢ NƯỚC,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),38226.17020822614
Đồng bằng sông Hồng,Số dự án,1109
Đồng bằng sông Hồng,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),20034.08955538011
Hà Nội,Số dự án,293
Hà Nội,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2161.16576933417
Vĩnh Phúc,Số dự án,33
Vĩnh Phúc,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),248.23951744
Bắc Ninh,Số dự án,361
Bắc Ninh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),5115.392497985001
Quảng Ninh,Số dự án,45
Quảng Ninh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2871.50705872
Hải Dương,Số dự án,70
Hải Dương,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),816.87793512
Hải Phòng,Số dự án,121
Hải Phòng,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4940.58742348
Hưng Yên,Số dự án,71
Hưng Yên,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1596.0311279375
Thái Bình,Số dự án,46
Thái Bình,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1161.35516869
Hà Nam,Số dự án,39
Hà Nam,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),699.2078978234375
Nam Định,Số dự án,24
Nam Định,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),323.94057485
Ninh Bình,Số dự án,6
Ninh Bình,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),99.784584
Trung du và miền núi phía Bắc,Số dự án,127
Trung du và miền núi phía Bắc,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2326.89803213
Bắc Kạn,Số dự án,
Bắc Kạn,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),
Tuyên Quang,Số dự án,2
Tuyên Quang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),17.10408876
Lào Cai,Số dự án,
Lào Cai,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),
Yên Bái,Số dự án,4
Yên Bái,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),138.99539507
Thái Nguyên,Số dự án,29
Thái Nguyên,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),667.8020296199999
Lạng Sơn,Số dự án,
Lạng Sơn,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.12521639
Bắc Giang,Số dự án,71
Bắc Giang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1229.6435515825
Phú Thọ,Số dự án,16
Phú Thọ,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),256.8465566975
Sơn La,Số dự án,
Sơn La,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.32910061
Hòa Bình,Số dự án,5
Hòa Bình,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),16.0520934
Bắc Trung Bộ và Duyên hải miền Trung,Số dự án,160
Bắc Trung Bộ và Duyên hải miền Trung,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4152.412149071568
Thanh Hóa,Số dự án,20
Thanh Hóa,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),485.4613550043662
Nghệ An,Số dự án,19
Nghệ An,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1749.59655279
Hà Tĩnh,Số dự án,
Hà Tĩnh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),6.05751847
Quảng Bình,Số dự án,
Quảng Bình,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.8136429
Quảng Trị,Số dự án,2
Quảng Trị,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),99.873822
Huế,Số dự án,16
Huế,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),23.35378177
Đà Nẵng,Số dự án,71
Đà Nẵng,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),243.308295846875
Quảng Nam,Số dự án,12
Quảng Nam,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),113.10250662
Quảng Ngãi,Số dự án,3
Quảng Ngãi,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),134.5957
Bình Định,Số dự án,3
Bình Định,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),78.90946172
Phú Yên,Số dự án,1
Phú Yên,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2.744552
Khánh Hòa,Số dự án,5
Khánh Hòa,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),50.5433884903267
Ninh Thuận,Số dự án,5
Ninh Thuận,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1058.23214624
Bình Thuận,Số dự án,3
Bình Thuận,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),105.81942522
Tây Nguyên - Central Highlands,Số dự án,3
Tây Nguyên - Central Highlands,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),564.74457709
Gia Lai,Số dự án,
Gia Lai,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),26.66002242
Đắk Lắk,Số dự án,2
Đắk Lắk,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),524.89305393
Đắk Nông,Số dự án,1
Đắk Nông,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),8.301199
Lâm Đồng,Số dự án,
Lâm Đồng,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4.89030174
Đông Nam Bộ - South East,Số dự án,1834
Đông Nam Bộ - South East,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),9850.82283746228
Bình Phước,Số dự án,35
Bình Phước,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),681.1087093050122
Tây Ninh,Số dự án,36
Tây Ninh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),587.4193169725048
Bình Dương,Số dự án,209
Bình Dương,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1948.96850027821
Đồng Nai,Số dự án,102
Đồng Nai,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1879.8748175
Bà Rịa - Vũng Tàu,Số dự án,36
Bà Rịa - Vũng Tàu,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1712.192472433148
TP. Hồ Chí Minh,Số dự án,1416
