Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
Tổng số,2015,Số dự án,2120
Tổng số,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),24115
Tổng số,2016,Số dự án,2613
Tổng số,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),26890.5
Tổng số,2017,Số dự án,2741
Tổng số,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),37100.59568499979
Tổng số,2018,Số dự án,3147
Tổng số,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),36368.55478681847
Tổng số,2019,Số dự án,4028
Tổng số,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),38951.68864441194
Tổng số,2020,Số dự án,2610
Tổng số,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),31045.3
Tổng số,2021,Số dự án,1818
Tổng số,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),38854.30038597938
Tổng số,2022,Số dự án,2169
Tổng số,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),29288.20985157336
Tổng số,2023,Số dự án,3314
Tổng số,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),39390.33861168286
Tổng số,2024,Số dự án,3375
Tổng số,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),38226.17020822613
"Nông nghiệp, lâm nghiệp và thủy sản",2015,Số dự án,17
"Nông nghiệp, lâm nghiệp và thủy sản",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),258
"Nông nghiệp, lâm nghiệp và thủy sản",2016,Số dự án,16
"Nông nghiệp, lâm nghiệp và thủy sản",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),133.5
"Nông nghiệp, lâm nghiệp và thủy sản",2017,Số dự án,17
"Nông nghiệp, lâm nghiệp và thủy sản",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),191.6040294870222
"Nông nghiệp, lâm nghiệp và thủy sản",2018,Số dự án,11
"Nông nghiệp, lâm nghiệp và thủy sản",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),180.6294124707555
"Nông nghiệp, lâm nghiệp và thủy sản",2019,Số dự án,18
"Nông nghiệp, lâm nghiệp và thủy sản",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),104.0758091618675
"Nông nghiệp, lâm nghiệp và thủy sản",2020,Số dự án,13
"Nông nghiệp, lâm nghiệp và thủy sản",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),228.6
"Nông nghiệp, lâm nghiệp và thủy sản",2021,Số dự án,15
"Nông nghiệp, lâm nghiệp và thủy sản",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),161.3917851475
"Nông nghiệp, lâm nghiệp và thủy sản",2022,Số dự án,12
"Nông nghiệp, lâm nghiệp và thủy sản",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),73.9422224875
"Nông nghiệp, lâm nghiệp và thủy sản",2023,Số dự án,19
"Nông nghiệp, lâm nghiệp và thủy sản",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),68.45287354
"Nông nghiệp, lâm nghiệp và thủy sản",2024,Số dự án,11
"Nông nghiệp, lâm nghiệp và thủy sản",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),77.63635099
Khai khoáng,2015,Số dự án,3
Khai khoáng,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),25.4
Khai khoáng,2016,Số dự án,1
Khai khoáng,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),71.5
Khai khoáng,2017,Số dự án,3
Khai khoáng,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1292.6996564992
Khai khoáng,2018,Số dự án,2
Khai khoáng,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),26.270372
Khai khoáng,2019,Số dự án,2
Khai khoáng,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),35.5882054171615
Khai khoáng,2020,Số dự án,1
Khai khoáng,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),23
Khai khoáng,2021,Số dự án,
Khai khoáng,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1.47143631
Khai khoáng,2022,Số dự án,1
Khai khoáng,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),19.69933514
Khai khoáng,2023,Số dự án,0
Khai khoáng,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1.02872326
Khai khoáng,2024,Số dự án,1
Khai khoáng,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3.82934205
"Công nghiệp chế biến, chế tạo",2015,Số dự án,1012
"Công nghiệp chế biến, chế tạo",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),16428.8
"Công nghiệp chế biến, chế tạo",2016,Số dự án,1042
"Công nghiệp chế biến, chế tạo",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),16936.9
"Công nghiệp chế biến, chế tạo",2017,Số dự án,968
"Công nghiệp chế biến, chế tạo",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),16437.58505929267
"Công nghiệp chế biến, chế tạo",2018,Số dự án,1106
"Công nghiệp chế biến, chế tạo",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),19378.01363355108
"Công nghiệp chế biến, chế tạo",2019,Số dự án,1365
"Công nghiệp chế biến, chế tạo",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),25196.0170963025
"Công nghiệp chế biến, chế tạo",2020,Số dự án,828
"Công nghiệp chế biến, chế tạo",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),14786.7
"Công nghiệp chế biến, chế tạo",2021,Số dự án,551
"Công nghiệp chế biến, chế tạo",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),22500.67798815812
"Công nghiệp chế biến, chế tạo",2022,Số dự án,533
"Công nghiệp chế biến, chế tạo",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),17836.00685638727
"Công nghiệp chế biến, chế tạo",2023,Số dự án,1119
"Công nghiệp chế biến, chế tạo",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),25299.48297829606
"Công nghiệp chế biến, chế tạo",2024,Số dự án,1169
"Công nghiệp chế biến, chế tạo",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),25578.25029902257
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2015,Số dự án,10
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2799.4
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2016,Số dự án,3
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),310.4
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2017,Số dự án,13
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),8374.065685
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2018,Số dự án,20
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1817.4280167744
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2019,Số dự án,15
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1010.645964143704
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2020,Số dự án,20
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),5185.1
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2021,Số dự án,24
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),7990.290080209999
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2022,Số dự án,11
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2261.51467008
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2023,Số dự án,12
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2381.93194866
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2024,Số dự án,4
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1421.4961459
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2015,Số dự án,3
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),17.6
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2016,Số dự án,13
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),491.5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2017,Số dự án,13
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),887.460029
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2018,Số dự án,7
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),299.7870833333333
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,Số dự án,6
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),250.0223915621529
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,Số dự án,5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),90.8
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,Số dự án,3
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),119.25198769
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,Số dự án,4
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),64.45958184
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,Số dự án,3
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),116.17831175
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2024,Số dự án,1
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),20.6290898500024
Xây dựng,2015,Số dự án,115
Xây dựng,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),738.6
Xây dựng,2016,Số dự án,127
Xây dựng,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),634.1
Xây dựng,2017,Số dự án,128
Xây dựng,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1260.416957786372
Xây dựng,2018,Số dự án,118
Xây dựng,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),659.1907302185335
Xây dựng,2019,Số dự án,139
Xây dựng,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),993.8463692530316
Xây dựng,2020,Số dự án,79
Xây dựng,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),618.6
Xây dựng,2021,Số dự án,28
Xây dựng,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),465.1203141699999
Xây dựng,2022,Số dự án,36
Xây dựng,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),311.4139726032813
Xây dựng,2023,Số dự án,40
Xây dựng,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),352.770729730625
Xây dựng,2024,Số dự án,52
Xây dựng,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),642.7667952318749
"Bán buôn và bán lẻ; sử chữa ô tô, mô tô, xe máy và xe có động cơ khác",2015,Số dự án,328
"Bán buôn và bán lẻ; sử chữa ô tô, mô tô, xe máy và xe có động cơ khác",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),684.4
"Bán buôn và bán lẻ; sử chữa ô tô, mô tô, xe máy và xe có động cơ khác",2016,Số dự án,514
