Đối tác đầu tư,Số dự án và tổng vốn đăng ký,Giá trị
TỔNG SỐ,Số dự án,1825
TỔNG SỐ,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),22648.99926011793
Lào,Số dự án,269
Lào,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),5716.5036659
Cam-pu-chia,Số dự án,214
Cam-pu-chia,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),2939.64849711
Vê-nê-xu-ê-la,Số dự án,2
Vê-nê-xu-ê-la,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1825.12
Liên bang Nga,Số dự án,16
Liên bang Nga,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1625.013985
My-an-ma,Số dự án,104
My-an-ma,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1468.015439
Hoa Kỳ,Số dự án,246
Hoa Kỳ,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1355.58310187
Pê-ru,Số dự án,5
Pê-ru,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1276.72983
An-giê-ri,Số dự án,1
An-giê-ri,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1261.5
Ma-lai-xi-a,Số dự án,27
Ma-lai-xi-a,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),854.569912
Xin-ga-po,Số dự án,180
Xin-ga-po,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),668.4323199204772
Ôx-trây-li-a,Số dự án,93
Ôx-trây-li-a,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),550.4895266873993
Tan-đa-ni-a,Số dự án,4
Tan-đa-ni-a,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),356.291828
Mô-dăm-bích,Số dự án,3
Mô-dăm-bích,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),345.893
CHLB Đức,Số dự án,43
CHLB Đức,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),257.7912639345454
Ca-na-đa,Số dự án,19
Ca-na-đa,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),238.71702827
Ca-mơ-run,Số dự án,2
Ca-mơ-run,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),230.687303
In-đô-nê-xi-a,Số dự án,26
In-đô-nê-xi-a,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),197.96902181
Burundi,Số dự án,1
Burundi,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),170
Quần đảo Virgin thuộc Anh,Số dự án,10
Quần đảo Virgin thuộc Anh,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),134.022952
Ấn Độ,Số dự án,19
Ấn Độ,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),104.05931639
Hà Lan,Số dự án,9
Hà Lan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),89.79955611
Cu-ba,Số dự án,6
Cu-ba,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),84.51970069
I-ran,Số dự án,1
I-ran,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),82.07
I-xra-ren,Số dự án,4
I-xra-ren,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),78.25
Tây Ban Nha,Số dự án,3
