Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,1045600000.0,0.826188154277968,8.57327225728677,6.092471264367818,70587774854.9588,73079706489.8168,10.0248996213899,3.339029411764706,42869283.0,291780228499.831,292064221388.988,18881099.0,-2491931634.8580017,6812.9019416767005,0.09723645293024245,49.19037349440723,0.35800345383880816,44.04342148666214
1991,1455200000.0,0.785561039949458,9.33279048161495,6.092471264367818,78353503011.4407,86243424554.0315,10.8749739277708,2.407,43295704.0,340515819592.003,340851946803.812,19463523.0,-7889921542.59079,7872.650524491114,0.0986138453838697,48.289859896329446,0.4269302298682735,44.954859724650746
1992,1001600000.0,0.797636990877627,6.21328146355184,6.092471264367818,85350581847.8633,87861307514.192,6.35159199606441,2.513,43747962.0,366449634074.544,366921291824.719,19901460.0,-2510725666.328705,8387.163082584715,0.12854466630415717,47.20682424850938,0.2729740743631939,45.491170537269824
1993,832300000.0,0.711550977703786,4.80099660215354,6.092471264367818,92739264963.918,91538648222.9078,6.99471791742556,2.878,44194628.0,405180928470.302,405705302846.447,20236410.0,1200616741.0101929,9179.968724851515,0.12925006709697529,45.42161807940974,0.20514890837278807,45.789298192531454
1994,1136600000.0,0.64424402914667,6.26585950039679,6.092471264367818,112641201186.191,116128928671.978,9.3718357757101,2.476,44641540.0,478013451560.765,479181794216.859,20818283.0,-3487727485.7870026,10733.988886065736,0.24382033503661196,47.7418242135127,0.23719598985549503,46.63432981926699
1995,2487100000.0,0.559248792378199,4.48074108557248,6.092471264367818,147104275488.339,154227820410.742,9.7358937505409,2.063,45092991.0,584206791548.469,586286469400.665,21302160.0,-7123544922.403015,13001.720586701935,0.35472042435535117,51.39673378563888,0.4242124165926008,47.24051238916487
1996,2782600000.0,0.531339775681197,4.92454354292754,11.065,152440172723.513,173342318317.297,7.99042982526839,2.048,45524681.0,629056776819.736,631196863758.281,21746859.0,-20902145593.783997,13864.937653451783,0.3390522135681266,51.61345211714637,0.44084502946225124,47.769382502647304
1997,3301100000.0,0.659654333729407,4.4389318457463,11.8766666666667,161870964161.056,167463480085.762,6.2821926537929,2.608,45953580.0,586142363436.902,589202526424.141,22230614.0,-5592515924.705994,12821.689331367457,0.5193737042865524,55.894947743273015,0.5602657578599185,48.37623967490672
1998,5989200000.0,1.24717712440792,7.51358008079307,15.2791666666667,151914103576.708,111609107996.101,-4.9389297463141,6.963,46286503.0,392335807960.502,397297216492.19,21862558.0,40304995580.60701,8583.435574992347,1.2487901565214008,66.3289851108205,1.5074860208887808,47.23311674679766
1999,10726300000.0,0.840047418141799,0.81295725444637,9.39583333333333,162507811338.788,136054279856.6,11.6172629559591,6.342,46616677.0,510209605904.762,515697079289.011,22101554.0,26453531482.18799,11062.501930135668,1.064088513321525,57.89485788963825,2.079961363129746,47.41126013765417
2000,11509400000.0,0.757087382087234,2.25916580080157,8.545,196359987002.164,186383219528.585,9.2018583880479,4.063,47008111.0,593631856192.651,597487173479.109,22567537.0,9976767473.57901,12710.299579557855,0.6452552385365655,64.0588155729056,1.9263007660870604,48.007751258075444
2001,6522300000.0,0.795715299888866,4.06657587897792,7.70833333333333,175166805500.193,167799772361.558,4.72593560322356,3.699,47370164.0,563858439067.057,567564806235.441,22938753.0,7367033138.634979,11981.482821875834,0.6530297734575412,60.42773866416926,1.1491727338171804,48.424474527890595
2002,5475100000.0,0.789951740666241,2.76226210296599,6.76916666666667,187653181633.942,180702673024.758,7.74399895319569,3.046,47644736.0,647686418296.774,650014391470.21,23347640.0,6950508609.1839905,13642.9424537101,0.35814178947184183,56.66887679602731,0.8423044276937248,49.003608709260135
2003,7010000000.0,0.806460806703662,3.51487451459939,6.23666666666667,221795023926.368,211120763750.549,3.07472661826947,3.348,47892330.0,726064526589.227,728516494684.269,23376928.0,10674260175.819,15211.54837704219,0.3365700176911777,59.424294554173116,0.9622294143165634,48.81142345757661
2004,13294400000.0,0.720946494323329,3.59066298882578,5.90416666666667,293159147249.081,266051158489.267,5.1836368597334,3.42,48082519.0,821876294398.976,823251107638.814,23859038.0,27107988759.813995,17121.630163320144,0.16699804313426886,67.9270638751076,1.6148657288940653,49.621023391058195
2005,13643200000.0,0.535163545191778,2.75379162735039,5.59333333333333,331627733440.925,311368128261.164,4.35823667337156,3.482,48184561.0,965137273906.382,971740329983.878,23953153.0,20259605179.760986,20167.047490250625,0.6795082877341979,66.16951482426965,1.4039964771480002,49.711261248182794
2006,9161900000.0,0.442805726523607,2.24234028518921,5.9875,377241080634.967,371584656529.364,5.24500550580342,3.254,48438292.0,1092099680505.83,1095175538508.19,24205394.0,5656424105.602966,22609.705943144938,0.2808552505244787,68.37495094022601,0.8365690866762804,49.971609238409975
2007,8826900000.0,0.42221719524622,2.53457382137932,6.55166666666667,440034853640.644,430767883125.589,5.8419633918717,3.013,48683638.0,1217938669946.42,1220911904593.06,24444660.0,9266970515.054993,25078.48539571057,0.24352573150076212,71.32396149880105,0.7229759957940682,50.21124345719603
2008,11187500000.0,0.639265612489691,4.67389655533408,7.16833333333333,500458646625.411,504705472100.229,3.00440451679569,2.959,49054708.0,1091846742973.78,1091580692542.34,24606329.0,-4246825474.817993,22252.3125108061,-0.02437295137754958,92.08335449618187,1.0248898754286149,50.16099372154045
2009,9021900000.0,0.610285029022816,2.7564965449393,5.64916666666667,427737777325.304,389431370552.81,0.81986175641795,3.363,49307835.0,981602437095.22,983065242417.36,24664533.0,38306406772.49402,19937.30291377344,0.14880043144877877,83.12460990571621,0.9177315615202837,50.0215290328606
2010,9497400000.0,0.490740501393226,2.93928652655686,5.51166666666667,540016342977.708,510006485308.614,6.98166138853071,3.324,49554112.0,1194538418968.23,1192830015737.68,24998081.0,30009857669.093994,24071.262052636113,-0.1432226895710303,88.02786771231257,0.7962073283448134,50.44602756679405
2011,9773000000.0,0.50510155584976,4.0259650043609,5.7575,670299926919.72,658770946514.601,3.6880320602952,2.992,49936638.0,1314861500732.74,1307103477219.1,25497708.0,11528980405.119019,26175.23985533628,-0.5935278766257518,101.68061646213022,0.7476837274423243,51.06012142827877
2012,9495900000.0,0.493438547720732,2.18707104433314,5.39583333333333,694692887431.358,660911494402.722,2.54766550568242,2.812,50199853.0,1348724497289.55,1335343586437.67,25940388.0,33781393028.635986,26600.5477433902,-1.0020575219578298,101.51727207905049,0.7111203510800134,51.67423099824615
2013,12766600000.0,0.451351280432292,1.30134754547413,4.64333333333333,706343252061.106,644649663350.784,3.2913959543442,3.067,50428893.0,1443405625204.06,1434669686501.84,26423747.0,61693588710.3219,28449.359110497233,-0.6089163787603848,94.1675235855872,0.8898633685589917,52.39803102558685
2014,9273600000.0,0.422392916919339,1.27477446401322,4.26333333333333,712570950951.712,640345541582.767,3.21468019683108,3.082,50746659.0,1563437084457.28,1556252422020.44,27115956.0,72225409368.94507,30667.091246744734,-0.461664337685813,86.93425779720391,0.5958930485043255,53.43397286509048
