Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,2634000000.0,1.18582063650748,26.6516725646771,12.357320915747568,48866118134.8639,51768004610.6821,5.25004329944582,3.928235294117647,82820170.0,252627764640.462,261253675692.838,29345631.0,-2901886475.818199,3154.469203490382,3.301737680627962,38.51969641332965,1.0082154798452883,35.43295190048511
1991,4762000000.0,0.967619380213456,22.662359455061,12.357320915747568,51459461044.3177,60602372094.1019,3.97590497138043,3.145,84430572.0,304531707708.975,313139656145.745,30270005.0,-9142911049.784195,3708.842054815701,2.748916743002238,35.786535157419515,1.5207272239526302,35.851948272954964
1992,4393000000.0,1.01884075312704,15.5078962533573,12.357320915747568,55406062493.8205,73709242760.1814,3.56861354412243,3.235,86044809.0,353562977713.644,363157832923.734,31407743.0,-18303180266.360893,4220.566436770567,2.642062029295406,35.55349590411206,1.2096668725640745,36.50161278177746
1993,4389000000.0,0.750527061359959,9.75146045357553,18.225,61477360984.9991,77229254751.1456,2.86699945461075,3.365,87653807.0,518573511442.517,530160763662.543,32566874.0,-15751893766.1465,6048.3484038809975,2.185611047482476,26.163123573670195,0.8278620940710879,37.153975525558174
1994,10972500000.0,0.744523837433014,6.96581237191123,19.3,70611769310.5158,90814853233.2361,4.39412788764169,4.436,89259205.0,540993992208.27,553618247900.74,33420497.0,-20203083922.720306,6202.36588372863,2.2803178436295717,29.15847213415816,1.9819614041998297,37.44207334134334
1995,9526290000.0,1.14902911194404,34.9992712889592,59.4316666666667,86926529245.2206,79072391841.9485,-5.91029962358286,7.095,90862455.0,366827054915.355,380157469866.849,34294154.0,7854137403.272095,4183.878477274789,3.506550839619967,43.66583172633977,2.5058799984481706,37.742931335060234
1996,9185600000.0,1.14518315744959,34.3783832235168,36.3858333333334,106842978990.053,99589465576.9735,6.21829715869302,5.465,92452702.0,418196147535.979,432157945024.428,35163744.0,7253513413.079498,4674.3679273368125,3.230716373306471,47.76782353390674,2.1255191778276292,38.03430645001592
1997,12829800000.0,1.05947176895571,20.6256287259247,22.14,121731183209.867,121630321173.562,7.19887615284711,4.235,94021207.0,510661980864.966,523449530464.257,36800377.0,100862036.30500793,5567.355995166676,2.442938402857961,46.49187557157368,2.4510099356896955,39.14050688585608
1998,12756764558.0,1.16622414897123,15.9283950119353,26.3583333333333,129452220228.41,138306850712.814,6.18507893082885,3.733,95575245.0,544023294441.948,557461102630.658,37464290.0,-8854630484.403992,5832.693420044678,2.4105373675933564,48.031884140017915,2.2883685512407683,39.19873812512853
1999,13941043232.0,1.05324862192883,16.5856169707538,23.7425,147818774071.958,155258243955.952,2.75503039300564,2.598,97115707.0,618292484162.27,631249359702.389,37826980.0,-7439469883.993988,6499.971829504254,2.0525764249848444,48.01224957611042,2.2084843362966247,38.95042436338336
2000,18382284821.0,1.01403249008326,9.49156149435403,16.9283333333333,179810168051.425,190555678046.711,5.02928399378261,2.646,98625552.0,726950892586.138,742061329749.127,38588417.0,-10745509995.28601,7524.027138009093,2.0362787491025154,49.91040918724976,2.477192124701419,39.126186082081446
2001,30060020323.0,1.27455273359175,6.36773806235037,12.795,171481946818.046,184678218802.095,-0.450845253215945,2.627,100099099.0,782084384836.265,796064590549.136,39007360.0,-13196271984.049011,7952.764795107057,1.756164748293507,44.740109012317326,3.7760780569657286,38.968742366002715
2002,20160111120.0,1.36054139637086,5.03072733151295,8.21083333333333,177144829751.745,189355937339.413,-0.236588001922641,3.003,101548624.0,800797003259.542,810666116401.915,39513494.0,-12211107587.668,7983.033983817595,1.2174078751652304,45.209829259652054,2.4868575005304585,38.91091030440747
2003,18157929031.0,2.17538855902022,4.54690012118718,7.0225,181095388468.59,191730637234.025,1.18554486709559,3.455,102978515.0,757017510489.137,765549967703.273,40580596.0,-10635248765.434998,7434.074648515498,1.1145526189145063,48.70041688083805,2.371880320950913,39.40685685747168
2004,25142732841.0,2.42376280545687,4.68840884843143,7.43833333333333,205711767188.403,220739895659.805,3.56544100946846,3.937,104394131.0,812126341854.446,819459227375.022,41810127.0,-15028128471.401978,7849.667596495649,0.8948444627398239,52.040620033563215,3.0682103515436454,40.05026585258897
2005,25161667683.0,2.47848065854808,3.98805714597437,9.695,233862215738.603,248437817056.73,2.11324712586392,3.558,105811504.0,904179622627.936,917571853529.104,43213356.0,-14575601318.127014,8671.758918851621,1.4595293926747708,52.562644651788595,2.7422013421864304,40.83994118446705
2006,22128838519.0,2.60156038099559,3.62946762439132,7.51183478062322,270928816792.948,284933176453.922,4.80501352746852,3.566,107253666.0,1004974290964.45,1020265057882.01,44671073.0,-14004359660.973999,9512.635753467019,1.4987053412671494,54.48211608861679,2.168930352759285,41.64992644633704
2007,31020143997.0,2.49619834688457,3.96684905458235,7.56083333333333,295222517228.833,313922896028.913,2.07786393438754,3.628,108774360.0,1084771599272.78,1102355554971.95,45655255.0,-18700378800.080017,10134.332713811877,1.5951256035188532,55.25852439444968,2.8139871801879135,41.972441851186254
2008,29771543941.0,2.33150871701096,5.12498274575896,8.70576785663225,313852456086.709,340860425741.283,0.943331863036903,3.874,110374288.0,1145939366382.81,1161553459715.1,46418411.0,-27007969654.574036,10523.768540324356,1.3442423335487101,56.36528188625745,2.563079959169698,42.05545679261822
2009,19652900330.0,2.42656562220423,5.29735584228856,7.065,250136106515.904,264902814265.021,-6.29525055780502,5.356,111999721.0,929066805910.397,943437415024.633,47339853.0,-14766707749.117004,8423.569332147114,1.5232180625209641,54.591742131350316,2.083116486268129,42.26783118504376
2010,30534439564.0,2.05963610261838,4.15672722680174,5.28083333333333,320766037580.856,334456322123.253,4.9713345832195,5.303,113623895.0,1093237575189.89,1105424238731.09,48189452.0,-13690284542.396973,9728.800783770792,1.10244222210914,59.27338452938529,2.7622372021668626,42.4113713053051
