Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,2332455289.06141,0.420722033817905,2.61780104712051,8.78583333333333,32783400341.9751,31883543601.83,9.00852713774628,3.4415882352941174,17833171.0,42152410000.4621,44024585239.6137,6301032.0,899856740.1450996,2468.690803201164,4.252567580050713,146.88825253398917,5.298074419932631,35.33321135091454
1991,3998448522.46005,0.264896878299873,4.358333333333,9.3475,38245926680.2444,40044733779.4588,9.54546741443052,3.7,18342464.0,46670061099.7963,49143148094.2683,6517412.0,-1798807099.2144012,2679.20101106745,5.03241467096904,159.31144726325428,8.136329636005552,35.531823859651574
1992,5183358086.40239,0.258753795751802,4.76722829992821,10.1616666666667,44957788510.6216,44155181214.9056,8.88511797832156,3.71,18834572.0,56023874033.0624,59167550162.956,6771591.0,802607295.7159958,3141.4332198765123,5.3131760926985505,150.6112209819355,8.760474402145553,35.95298581778232
1993,5005642759.8826,0.262494617840895,3.53658536585389,10.0308333333333,52793700310.2061,52860519910.8813,9.89494333377064,4.11,19322664.0,63683741276.0601,66894966968.9736,7025550.0,-66819600.675201416,3461.995042141891,4.800399549345613,157.94046250159693,7.482839123314397,36.3591169416391
1994,4341800916.32296,0.160142997740419,3.72497055359284,8.76416666666666,66398033836.3054,67592211553.1169,9.21204179334867,3.64,19820446.0,70892013412.5895,74478356957.7808,7282444.0,-1194177716.8115005,3757.652928586007,4.8152828441479825,179.9049426739861,5.829614257983935,36.74207936592345
1995,4178239335.0381,0.130540057956863,3.45057509584895,8.73,83462121212.1212,86952551834.1308,9.82908519730812,3.15,20330599.0,84567384370.0159,88705342902.7113,7547014.0,-3490430622.009598,4363.144583330344,4.664835732875485,192.11320025351398,4.710245401588308,37.12145421785162
1996,5078414947.87738,0.162760947838547,3.48855945858916,9.94333333333333,92359488035.6149,90962318149.2964,10.0027006861844,2.52,20850087.0,96164639478.4959,100855393910.486,7819897.0,1397169886.3184967,4837.168972507692,4.650970315135913,181.76698248545657,5.035342931072896,37.50534470191899
1997,5136514575.67471,0.194430720654335,2.66251459711946,10.6283333333333,93294414081.9079,92380580594.7903,7.32274185035924,2.45,21375218.0,94647952303.2153,100005323301.867,8100507.0,913833487.1175995,4678.563900581833,5.357085824801974,185.6651111623693,5.13624115805325,37.89672226968633
1998,2163401815.57572,0.262700428021064,5.27034200348766,12.1341666666667,83529351814.1052,67655931512.4338,-7.35941518817556,3.2,21906713.0,68264115368.936,72167498980.8398,8390877.0,15873420301.671394,3294.3097844409517,5.408783270901677,209.4922028081895,2.9977508520145544,38.30276591472212
1999,3895263157.89473,0.407961059169315,2.74456130240604,8.56333333333333,96016052631.5789,76187894736.8421,6.13761201057692,3.43,22435531.0,73652105263.1579,79148421052.6316,8693122.0,19828157894.7368,3527.815813792489,6.944315144099722,217.5709193919484,4.921466664893394,38.747119468667805
2000,3787631578.94736,0.365038257468414,1.53474023697699,7.67333333333333,112369210526.316,94349736842.1053,8.85886816969386,3.0,22967816.0,86182105263.1579,93789736842.1053,9003136.0,18019473684.210693,4083.528744836048,8.111368935552964,220.40678898207372,4.038428623937633,39.19892078550264
2001,553947368.421052,0.395656009007911,1.41678473206098,7.12666666666667,102435789473.684,86253947368.4211,0.517675319192861,3.53,23526538.0,86041052631.5789,92783947368.4211,9319049.0,16181842105.262909,3943.7994391023913,7.26730746868087,203.36463601065265,0.5970293182520786,39.61079611458345
2002,3192894736.8421,0.431352798574161,1.80787246281536,6.52833333333334,109221052631.579,91820789473.6842,5.39098830692797,3.48,24102477.0,94250526315.7895,100845526315.789,9642825.0,17400263157.89479,4184.0316377353665,6.5397050726353765,199.35623269565585,3.1661243225047264,40.00761000622467
2003,3218947368.42105,0.518185443526144,1.08967632577286,6.30083333333333,117854210526.316,96153421052.6316,5.7884992858875,3.61,24679602.0,104271578947.368,110202368421.053,9976922.0,21700789473.684387,4465.321945672098,5.381725963479369,194.19512905683044,2.9209420945676374,40.425781582701376
2004,4376052631.57894,0.642783009315513,1.42127115937402,6.04583333333333,143927631578.947,118513157894.737,6.78343772370305,3.54,25256772.0,118327894736.842,124749473684.211,10324666.0,25414473684.20999,4939.248518544294,5.147579991900002,210.37426589712337,3.5078726204941084,40.87880272269156
2005,3924786634.73868,0.778191510217667,2.97507092684449,5.9525,162048875496.027,130552677357.719,5.33213916141486,3.53,25836071.0,137212140608.15,143534405818.501,10688442.0,31496198138.308014,5555.581799512047,4.4047036487861355,203.85464459562405,2.7343873494007878,41.37023001678545
2006,7690731245.66746,0.839300079361867,3.60923564224389,6.48583333333333,182517092277.717,147060242730.926,5.5848470671515,3.32,26417909.0,157977654840.538,162692258307.056,11067941.0,35456849546.791016,6158.407855332381,2.897865894528266,202.5771468403971,4.727164848343563,41.89559817167967
2007,9071369834.83859,0.804050512417782,2.02735317779569,6.40916666666667,205488238926.986,167027920021.387,6.29878592740947,3.31,26998389.0,189481287502.884,193549569477.733,11462139.0,38460318905.599,7168.930319425096,2.101932846364216,192.46550635765135,4.686845782874351,42.45489980902194
2008,7572512432.33634,0.575824944244283,5.44078221100769,6.08,229656580530.26,178114431987.453,4.83176988913097,3.34,27570059.0,223906592446.324,230811614370.384,11872645.0,51542148542.80701,8371.821560860062,2.9916267181336424,176.66832478514783,3.280819491251731,43.06354585603172
2009,114664434.56228,0.559125184834752,0.583308405623702,5.08416666666666,184897274878.188,143890358442.027,-1.51352871598714,3.62,28124778.0,198224543999.537,202257453036.641,12298453.0,41006916436.16098,7191.432872346263,1.9939482953804433,162.5589704526991,0.056692316075743016,43.7281780499743
2010,10885801851.6194,0.432489840716057,1.62285235577035,5.0,221687585588.343,181099423890.134,7.42484738326097,3.32,28655776.0,246905159655.731,255017638455.59,12720268.0,40588161698.208984,8899.345055446762,3.181144194177673,157.94476488677088,4.268646638540301,44.38989193662039
2011,15119439203.9543,0.406608260024417,3.1744709215131,4.915,254020012398.681,207619404294.702,5.29391283414003,3.05,29162039.0,290892852065.831,297951668674.835,13112179.0,46400608103.979004,10217.106858503104,2.3691146421158527,154.93768460722603,5.074460321433765,44.963176271727775
2012,8895774250.70401,0.411459483093052,1.66357102479206,4.78583333333333,249353066125.011,215525053248.817,5.47345419253853,3.04,29662831.0,302839192295.004,314443047642.111,13636640.0,33828012876.194,10600.574424002585,3.6902884112464553,147.84175476601325,2.829057381745293,45.972146084101006
