Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,5574738855.37737,1.7032804285274108,3.46075338652824,7.3625,64045069989.2324,60411526431.831,9.82089955731777,3.94985294117647,3047132.0,35780956775.8806,36144336768.7023,1461706.0,3633543557.4013977,11861.756159136625,1.0053580320122375,344.33221784506907,15.423547237985524,47.96989431373501
1991,4887094440.10303,1.7032804285274108,3.42570173078643,7.58333333333333,76631490593.343,70627959479.0159,6.68839753958379,2.18,3135083.0,44779334298.1187,45466164978.2923,1522540.0,6003531114.327103,14502.379993860544,1.5106413318596912,323.88799482575126,10.748860042267388,48.56458345759905
1992,2204342221.03992,1.7032804285274108,2.26307118702851,5.9525,84309872452.9103,77981321905.232,6.63980556949564,3.09,3230698.0,52162444051.9667,52131320032.8797,1583730.0,6328550547.678299,16136.240537766049,-0.05970310950761996,311.31226728151853,4.228441212786519,49.021295088553615
1993,4686312017.48988,1.7032804285274108,2.28929964388641,5.38833333333333,97966383028.4981,91975756765.5718,11.459650875246,3.07,3313471.0,59324256664.383,60603815716.2653,1635740.0,5990626262.9263,18290.130113185023,2.111350641472689,313.41613980766533,7.73270125338351,49.366359325311734
1994,8550165226.98866,1.7032804285274108,3.10013262599502,5.87833333333333,122465766339.061,110550174016.2,11.0956893100227,3.03,3419048.0,73784439887.8126,73688724431.1412,1705718.0,11915592322.861008,21552.41003669478,-0.1298915911631009,316.2165475845682,11.603084858631805,49.88868246365655
1995,11942852103.36,1.7032804285274108,1.72053384788524,6.36916666666666,159046900079.372,144309656936.238,7.17540112091071,3.3,3524506.0,88447587970.7205,87812540788.4293,1786392.0,14737243143.134003,24914.850702035776,-0.7231850674054021,345.45926389546173,13.600394654488419,50.68489030803182
1996,11432363956.3629,1.7032804285274108,1.38318052481876,6.26,169132174170.822,153364122036.168,7.47139086002002,3.57,3670704.0,95601333578.2435,96293086513.0872,1886519.0,15768052134.653992,26232.866096826987,0.7183827623488712,334.91116328809284,11.87246599973626,51.3939287940406
1997,15701783678.7862,1.7032804285274108,2.00358618538962,6.3225,169506454041.807,154758870855.856,8.31620911124497,2.5,3796038.0,102085524977.674,100123787215.299,1977115.0,14747583185.95102,26375.865366811133,-1.95931238413567,323.86442214814156,15.68237090854565,52.083646159495764
1998,5958646073.68738,1.7032804285274108,-0.267502292876153,7.44166666666666,142983995000.006,124555957748.616,-2.19101500611274,3.41,3927213.0,86992785620.4761,85728207781.7785,2067428.0,18428037251.390015,21829.27378315831,-1.475101219795227,312.0792556746853,6.950624803512909,52.64364321466648
1999,18852989358.6266,1.7032804285274108,0.0167098337370727,5.8,152507703735.257,137834470137.001,5.71837175710837,4.85,3958723.0,87264219682.2692,86286849754.8905,2092081.0,14673233598.255981,21796.6373891001,-1.1326985863489565,336.4848464128825,21.84920345589284,52.84737022519636
