Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,-75722412.1197067,0.107573483787533,14.3209918914915,21.0,27148931269.0617,21016333110.5804,-0.317760426540374,25.032323529411766,40746268.0,121780791791.973,126048140141.869,14739816.0,6132598158.4813,3093.489203523351,3.385490928381041,38.211800924179755,-0.06007420024958721,36.1746405830345
1991,254133621.74014,0.0954941693774868,15.3347785733672,20.3125,26149497612.5505,21011728107.8037,-1.0182449675445,23.137,41687898.0,131995444199.593,135203698237.977,15115009.0,5137769504.746799,3243.236160239526,2.372904055284817,34.88160925697757,0.18796351361101826,36.257546494668546
1992,3358018.17406729,0.0811651988699996,13.874703748615,18.9058333333333,27855753863.7608,22581586205.3973,-2.13703284500521,23.463,42443509.0,144010513272.375,146956150986.636,15381627.0,5274167658.363499,3462.3940020283426,2.0044330873423997,34.32135349934744,0.002285047717650596,36.24023404850904
1993,11290546.0235309,0.0690923030759448,9.71742729803028,16.1583333333333,29312901691.7492,23232862325.1162,1.23355793864741,23.361,43297156.0,144532358674.583,147194747565.75,15744688.0,6080039366.632999,3399.6400956624034,1.8087526458630852,35.69812434604291,0.007670481596829777,36.364254502074
1994,374410441.074406,0.0643371830043216,8.938563723594,15.5833333333333,30010718717.3137,26964924504.2945,3.20000000297172,23.067,44004139.0,151091003233.639,153512712381.836,16012767.0,3045794213.019203,3488.59711541762,1.5775300368437328,37.114609166628014,0.24389539814991062,36.38922920409828
1995,1248424932.7343,0.0481478809615024,8.68042421392631,17.8958333333333,34412207047.8084,33385762947.3806,3.10000000054411,22.705,44541554.0,168861173587.054,171735933897.331,16155006.0,1026444100.427803,3855.634087156703,1.6739422234112216,39.478033779302535,0.7269445039269689,36.26951587724128
1996,816389273.755428,0.0458760618462823,7.35411972085333,19.5208333333333,35543985845.2989,33339931231.4492,4.29999999726792,22.5,45123018.0,160122826316.263,163234925380.563,16358427.0,2204054613.849697,3617.553360029309,1.9065154451747965,42.19925173252805,0.5001314956662078,36.252954090969716
1997,3810543923.03317,0.104154475445804,8.59777611252274,20.0,36601647322.6125,34878325819.5272,2.60000000146347,22.549,45666838.0,165756676595.857,168978057327.73,16607141.0,1723321503.0853043,3700.2355478986747,1.9063899673229197,42.30133442918304,2.2550525099496714,36.365865751423385
1998,550338595.971811,0.169042032624031,6.88054521037351,21.7916666666667,34450654127.0311,32916543361.3758,0.50000000034143,22.739,46223880.0,149819615960.396,152982984557.233,16939801.0,1534110765.6552963,3309.609330874712,2.067791137682731,44.03574533689655,0.3597384359865995,36.64729356341354
1999,1503332454.41011,0.202526744496003,5.18148905111697,18.0,33741638410.0523,30286845828.5512,2.39999999746338,22.884,46730335.0,148308666492.948,151516957078.536,17269604.0,3454792581.5010986,3242.368304839587,2.1174465534739157,42.25829601726724,0.9921875962905495,36.95587459409396
