Year,missing_share %
1990,0.09477124183006537
1991,0.03594771241830066
1992,0.03594771241830066
1993,0.026143790849673203
1994,0.029411764705882353
1995,0.029411764705882353
1996,0.0196078431372549
1997,0.016339869281045753
1998,0.016339869281045753
1999,0.016339869281045753
2000,0.013071895424836602
2001,0.013071895424836602
2002,0.016339869281045753
2003,0.016339869281045753
2004,0.00980392156862745
2005,0.013071895424836602
2006,0.013071895424836602
2007,0.013071895424836602
2008,0.013071895424836602
2009,0.013071895424836602
2010,0.013071895424836602
2011,0.013071895424836602
2012,0.013071895424836602
2013,0.013071895424836602
2014,0.013071895424836602
2015,0.013071895424836602
2016,0.013071895424836602
2017,0.013071895424836602
2018,0.016339869281045753
2019,0.016339869281045753
2020,0.0196078431372549
2021,0.0196078431372549
2022,0.029411764705882353
2023,0.032679738562091505
2024,0.03594771241830066
