year,value_usd
1995,1323681930.28787
1996,1735897756.92245
1997,1985854205.99896
1998,2002261884.51771
1999,3326147673.21608
2000,3416511105.0847
2001,3674565622.65934
2002,4121051660.52162
2003,6224181087.75992
2004,7041460609.52428
2005,9050561631.2151
2006,13384067982.157
2007,23479392779.8197
2008,23890250550.2909
2009,16447104123.628
2010,12466600610.9074
2011,13539119001.0033
2012,25573282232.2766
2013,25893489673.0736
2014,34189368832.6688
2015,28250254960.181
2016,36527291044.3307
2017,49075567812.4586
2018,55452622582.5609
2019,78334835182.609
2020,94833616150.4504
2021,109371353442.833
2022,86539530966.6451
2023,92237540812.2468
2024,83081854928.1161
