Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,5.97,,,,108318282.0,,,,,,
2024,74090786050.19,0.224281814146123,4.36746407652336,40.225,392105352908.42,385708875013.773,3.41931516597739,6.801,211998573.0,2112836240407.16,2185821648943.86,107871864.0,6396477894.646973,10310.54887781655,3.339037682784646,35.58452393853887,3.3896080261621075,50.88329721917515
2023,62750364285.48,0.202347517951754,4.59356282283203,43.6,393731591579.688,343939899556.732,3.24165532813583,7.947,211140729.0,2121606070844.73,2191131869706.02,106356432.0,49791692022.95599,10377.589771919467,3.173054065003317,33.66622983012847,2.8638333070249713,50.37229553185828
2022,75501038733.31,0.254813156784915,9.28010608956872,39.4,383177580523.381,374482461947.998,3.01669435408112,9.231,210306415.0,1895345782501.95,1951923832083.87,106610573.0,8695118575.382996,9281.332821368622,2.898578758655636,38.81606597643221,3.8680320149944185,50.692972442138775
2021,46440503520.19,0.245534634681336,8.30165975585673,30.0166666666666,319251213851.504,309853321037.194,4.7626043797061,13.158,209550294.0,1618525188671.9,1670647464062.96,104085430.0,9397892814.310059,7972.536960806936,3.1198847460193897,37.656330759257635,2.7797907409650757,49.67085849089766
2020,38270116307.45,0.241596221185315,3.21176803803376,29.0416666666666,242872081037.195,233941255872.595,-3.27675879612903,13.697,208660842.0,1445311200183.95,1476107292151.95,100001874.0,8930825164.600006,7074.194074957054,2.0863044395034303,32.30207854434927,2.592637846240684,47.9255585482589
2019,69174411753.45,0.171549777942457,3.73297621216893,37.475,264562972885.655,276634806846.042,1.22077782271943,11.936,207455459.0,1822994350926.29,1873288158838.63,106262669.0,-12071833960.386993,9029.833044010811,2.6847875846031166,28.890257869735315,3.6926733042681272,51.221919882089004
2018,78183840044.98,0.153030293312066,3.66485028376728,39.0833333333333,280543238553.765,272994437656.194,1.78366676137003,12.329,206107261.0,1863630803587.87,1916933708352.71,104554923.0,7548800897.571014,9300.66072904006,2.7806337033243027,28.876203376152944,4.078588618078305,50.72840349860357
2017,68885491315.23,0.130785143710407,3.44637335032669,46.9166666666666,258330740894.672,243510550194.841,1.32286905390815,12.792,204703445.0,2024937157803.49,2063514688805.78,103476109.0,14820190699.830994,10080.507872282169,1.869506004079673,24.31973437416838,3.3382602842093734,50.54927580725376
2016,74294627801.19,0.152575419113448,8.73914352329393,52.1,223863316065.497,216686360894.163,-3.2759169063211,11.58,203218114.0,1757596906197.49,1795693265999.04,101885554.0,7176955171.334015,8836.285460256953,2.121540494854783,24.533682077075603,4.137378538302639,50.13605922944448
2015,64738153494.44,0.160741907865654,9.02990102416136,43.9583333333333,232488797699.731,253272683229.75,-3.54576339347278,8.538,201675532.0,1768299908716.93,1802211999456.42,100587656.0,-20783885530.019012,8936.195588944423,1.8816926504605727,26.95362593723688,3.592149731217316,49.87598396418262
2014,87713983217.24,0.107811943323696,6.32904015516138,32.0083333333333,270458135123.049,335826235474.104,0.503955740273241,6.755,200085127.0,2410277002770.43,2456043766032.38,98900006.0,-65368100351.05499,12274.994163021322,1.8634343530402027,24.685405813292007,3.571352613106635,49.42896430277899
2013,75211029129.4,0.109901884075103,6.204310666401,27.3916666666666,290364152968.201,347275992530.51,3.0048226702888,7.071,198478299.0,2438459112454.59,2472819362043.74,97945820.0,-56911839562.30902,12458.890339662476,1.389517168805742,25.785957328145187,3.041509229660813,49.348377376007235
2012,92568388321.34,0.112933640369011,5.40349914036997,36.6366666666666,292808453766.78,326315725034.084,1.92117598509462,7.251,196876111.0,2403719887646.8,2465228293706.86,96690220.0,-33507271267.303955,12521.72384544339,2.4950389469841943,25.114273610332173,3.754962108687663,49.1122155496052
2011,102427228231.42,0.122874992837042,6.6364496221309,43.8833333333333,303016670666.47,323144851604.241,3.97442307944702,7.578,195284734.0,2548929316371.71,2616156606579.21,95987652.0,-20128180937.771057,13396.626315804133,2.569696708462875,23.934405176510314,3.9151795413864794,49.1526654612951
2010,82389932468.07,0.139566673278077,5.03872690108074,39.9916666666666,240003177242.351,262997371054.402,7.52822581812151,8.42,193701929.0,2140606612730.03,2208838108484.35,96467543.0,-22994193812.050995,11403.28400386942,3.0890220289226553,22.772178113220782,3.7300122698717804,49.802055920671805
2009,31480931700.0,0.173315292299207,4.88803479876798,44.65,180891954696.632,187613839464.85,-0.12581200299141,9.419,192079951.0,1630109870571.85,1666996294252.12,96857149.0,-6721884768.218018,8678.658473065312,2.212747791189225,22.105975606071045,1.8884824044629074,50.425434042306684
2008,50716402711.4787,0.214793373167509,5.67859390284168,47.25,229517077426.892,232731883186.608,5.09419544811998,8.268,190367302.0,1654272376257.72,1695855391757.96,95054971.0,-3214805759.7160034,8908.333384679476,2.45203781539027,27.257569416595295,2.990608925617472,49.9324043579711
2007,44579492463.6336,0.236608710178951,3.64127299102652,43.7166666666666,186202847701.222,167163829315.927,6.06987060733128,9.28,188552320.0,1367438369100.13,1397114247188.89,93712199.0,19039018385.294983,7409.690038228593,2.124083849869139,25.29261137578062,3.1908265593405294,49.70089946387294
2006,19418085598.0793,0.29677525531574,4.18356812896909,50.8083333333333,159213766909.526,129231057090.313,3.96198870899485,9.692,186653106.0,1079909686695.35,1107626711163.23,92726865.0,29982709819.212997,5934.145618574545,2.5023795642100013,26.04169988794457,1.7531254349839955,49.67871523123757
2005,15459981604.1196,0.314631176636436,6.86953720898964,55.3833333333333,135919138201.251,105595890397.488,3.20213206216255,10.551,184688101.0,865859652973.965,891633826625.407,91599988.0,30323247803.763,4827.7816589029035,2.890667994168671,27.08679520524789,1.7338935718299802,49.59712483047297
2004,18161380459.7533,0.420223946174532,6.59718509985963,54.925,110739015046.921,87894359743.7903,5.75996463685998,10.072,182675143.0,649516039101.083,669289321944.512,89058034.0,22844655303.130707,3663.822624978112,2.954369985461725,29.678252480349478,2.713532080115718,48.75213591594123
2003,10123013670.99,0.409627706284062,14.7149197228147,67.0833333333333,84744254237.9749,72344863387.4048,1.14082899877101,11.168,180622688.0,540518512990.096,558233724164.711,86792831.0,12399390850.570099,3090.6068907839035,3.173439799095342,28.140384721548884,1.8134005941932536,48.05200939097972
2002,16586600193.114,0.393057981355301,8.45016437708331,62.875,72546876208.0285,68250203697.4473,3.05346185683619,10.641,178503484.0,492692609449.771,509795270685.19,85201661.0,4296672510.5812,2855.940171370493,3.3548097086958424,27.61835740771733,3.2535806326372527,47.73109134385299
2001,23225846372.251,0.258742172210844,6.84035902487523,57.6166666666666,69279563683.047,81559242944.9922,1.3898964044581,10.649,176301203.0,541802025604.252,559983704094.17,82302317.0,-12279679261.945206,3176.289750525242,3.246822783768096,26.936285024943025,4.147593260739818,46.68278809192243
2000,32994718699.75,0.205903536568475,7.04414105947265,56.83,66777376073.331,81614529580.3146,4.38794944364869,10.889,174018282.0,636572488761.719,655448188259.351,80295093.0,-14837153506.983604,3766.5478633983466,2.8798156491605296,22.63976135897551,5.033917141089798,46.14175710572755
1999,28385675614.9902,0.250315990583017,4.85844749902666,80.4433333333333,57355154395.7223,68462744029.1499,0.467937566679467,11.125,171641543.0,581160970747.041,599642075004.471,78290799.0,-11107589633.427605,3493.571920432287,3.0820225977792064,20.982166473880955,4.7337698267384845,45.6129662036422
1998,28855609916.42,0.143103421111572,3.19507629280051,86.3633333333333,60723205260.3554,81258662213.1179,0.338097901952338,10.15,169159655.0,845870879382.865,863711007325.493,75725311.0,-20535456952.762505,5105.892461920031,2.0655205029597274,16.438584928206993,3.3408871337384314,44.765586096755754
1997,18992934310.6468,0.177987830028304,6.92671251629154,78.1933333333333,61680043707.1935,84722106135.423,3.39484598531597,9.003,166661659.0,868630774082.402,883206452795.124,73815138.0,-23042062428.229507,5299.397942481324,1.6503138837577247,16.57620926333712,2.1504523942888993,44.29041354976552
1996,12552000000.0,0.242113829026541,15.7576656002606,,57235482155.3958,75733720733.3057,2.20886405051482,8.035,164202549.0,839052100885.484,850426433004.077,71163065.0,-18498238577.909897,5179.130520099764,1.3374857221234195,15.635591478382944,1.475965411336153,43.338587271260934
1995,4859000000.0,0.383708840278732,66.0070335542481,,57922145075.9927,72744966688.2403,4.2237936336472,7.092,161735073.0,758586196666.96,769333330411.575,71346700.0,-14822821612.247597,4756.750135523016,1.3969411332881587,16.98445999919557,0.6315857909601488,44.113313628640086
1994,3072000000.0,0.393627459716483,2075.88839757325,,49978835483.8031,48132722297.6479,5.8528703643893,6.579,159265006.0,505179284391.702,525369851353.742,69427335.0,1846113186.1551971,3298.714918917857,3.84311488563992,18.674759796102293,0.5847309266194571,43.59233502932842
1993,1292000000.0,0.338586558320567,1927.38079016026,,38683106084.5045,33500364056.5262,4.92469000463774,6.03,156794577.0,359329728432.148,368295778245.09,67538482.0,5182742027.978302,2348.9063543638376,2.4344698860423466,19.599320547463545,0.35080499867696335,43.07450123099602
1992,2061000000.0,0.545723857524072,951.962053052817,,35668490420.1102,27518767695.3196,-0.544072051030298,7.086,154275079.0,321997047142.546,328187960871.951,65654226.0,8149722724.7906,2127.290830114895,1.8863926979394823,19.253374787895876,0.6279937857940315,42.55659852878766
1991,1103000000.0,0.323984265003483,432.786661926461,,29730384050.1383,27115606036.3239,1.0321895854696,6.887,151724256.0,334931411093.569,342609231342.783,63803243.0,2614778013.8144035,2258.1045402706277,2.240984639883312,16.592077762664655,0.32194112098994804,42.05210470763488
1990,989000000.0,0.146650222526177,2947.73277248299,,32028703568.9999,27188105814.8072,-4.35000000000022,,149143223.0,380339036380.184,390725626002.866,62225754.0,4840597754.192699,2619.801410640469,2.6582821630966738,15.155599081021814,0.25311879594832243,41.72214650343181
1989,1131000000.0,0.0290563359051144,1430.7237251472,,36878468232.3992,22554535409.3862,3.16000000000032,,146502972.0,435225894864.886,412990820287.42,,14323932823.013,2818.9927798012177,-5.383914964984344,14.390877647213355,0.273855965905703,
1988,2804000000.0,0.0103935946880066,629.114509120897,,35921688764.4272,18780447289.5167,-0.059999999999917,,143826357.0,316712779909.733,307881930752.268,,17141241474.9105,2140.6502756116392,-2.868258340425492,17.767244709777742,0.9107387345365816,
1987,1169000000.0,0.0148380093768066,228.336162575512,,27820190341.2553,18211637169.8377,3.52999999999983,,141104944.0,282955495997.371,283056836893.838,,9608553171.417599,2006.0022623575685,0.03580231361980826,16.26239733907487,0.41299126098778516,
1986,345000000.0,0.0155957061178681,147.142826237604,,23640555933.3822,17038985025.8432,7.48999999999982,,138336370.0,256173864186.931,256480852471.129,,6601570907.538998,1854.0377521191933,0.11969247654951337,15.860654145246391,0.13451296526661194,
1985,1441000000.0,0.0189681475100185,225.989665211895,,27305943480.8901,15818492520.6226,7.85000000000042,,135515595.0,211063863687.536,210879844638.877,,11487450960.267498,1556.1297180510996,-0.08726251149042792,20.449766584076112,0.6833275140484159,
1984,1594000000.0,0.0244239175581779,192.12173313205,,28317692073.148,16563864377.1802,5.39999999999988,,132658864.0,197144720543.593,188339974086.58,,11753827695.967798,1419.7315460697748,-4.674921773624888,23.830074665772294,0.8463418388638183,
1983,1609000000.0,0.0152908015456378,135.027682230472,,23221079048.8769,18314364418.7078,-2.92999999999996,,129790077.0,191446471084.389,189656506321.431,,4906714630.169098,1461.2558271417852,-0.9437929642784649,21.900352523203278,0.8483758512734897,
1982,2910000000.0,0.0210088591442216,100.543359194849,,21435129573.2899,23307743170.8143,0.829999999999529,,126923155.0,267229261483.899,271314113768.417,,-1872613597.5243988,2137.6250359394,1.5055804608840488,16.491170371731915,1.0725575457839474,
1981,2520000000.0,0.0480591888135254,101.725072957927,,24828388398.9376,25827534749.1203,-4.24999999999956,,124063109.0,252659071917.96,258015174748.648,,-999146350.1827011,2079.709083774839,2.075886751973329,19.632923992709205,0.9766867404039012,
1980,1911000000.0,0.0467578112821041,,,21276141967.6084,26571483279.6605,9.19999999999976,,121207461.0,227299903221.934,237393489892.637,,-5295341312.052101,1958.5715923266225,4.251838024399028,20.155407491969704,0.8049925888297376,
1979,2419000000.0,0.032981201854162,,,16026612550.3001,20642227950.3886,6.7595601220408,,118380821.0,218945212519.056,221338204480.222,,-4615615400.088499,1869.7133759548938,1.081147272693185,16.566882607003933,1.0928976340440826,
1978,2006000000.0,0.0564213919891758,,,13404621904.9098,15791774010.8349,4.96989768924738,,115600942.0,196080790936.193,200278646123.581,,-2387152105.9251003,1732.5001220455538,2.0960073720479087,14.577887598525704,1.001604533896343,
1977,1833000000.0,0.034591460397625,,,12776590678.7557,13948797699.9376,4.93432806978961,,112875292.0,173253413561.887,176344101401.941,,-1172207021.1819,1562.2914304570836,1.752646000338516,15.155249405126478,1.039445031292566,
1976,1555000000.0,0.0528827810197316,,,10741988183.0392,14401534168.3917,10.2571295347867,,110213349.0,150357935666.65,153168949208.207,,-3659545985.352501,1389.74952306555,1.83523720446493,16.415547982412924,1.0152188208108963,
1975,1302000000.0,0.0634657458522922,,,9325921437.05926,14233481672.8226,5.16664908406321,,107619565.0,122016649141.279,129203555238.827,,-4907560235.76334,1200.558237146071,5.562467754283784,18.234330368334955,1.0077122085327384,
1974,1207900000.0,,,,8424673828.03794,14596797400.1872,8.15393868457201,,105089675.0,104325590448.443,109794519727.538,,-6172123572.1492605,1044.769809474984,4.981058519738957,20.967778068845668,1.1001459845149646,
1973,1180700000.0,,,,6557708237.89377,7532763884.77189,13.9687217796782,,102600976.0,78380807935.1819,83592275862.9982,,-975055646.8781195,814.731780553415,6.234389330848613,16.856189136133754,1.4124510761437856,
1972,459899999.9,,,,4249449495.7691,5177234171.78625,11.9403481162508,,100146797.0,58075347258.6067,58434858374.8696,,-927784676.0171499,583.4920349461561,0.6152339994675371,16.13195262163821,0.7870302293703921,
1971,449000000.0,,,,3155632739.4951,4004245613.85253,11.3429219931908,,97739273.0,48684157318.5706,48869830901.7878,,-848612874.35743,500.0019889833619,0.37993498195306574,14.650916979304915,0.9187672470206444,
1970,391699999.9,,,,2975391707.00149,3153304260.31533,10.4,,95375651.0,41728566935.8317,42327664793.6934,,-177912553.3138399,443.79948498273836,1.4153813133366073,14.47917336613846,0.9253995036323412,
1969,,,,,2479930321.58748,2454948720.19931,9.49999999999993,,93045777.0,36783720975.7678,37171640818.5863,,24981601.388170242,399.4984191339098,1.0435908511860454,13.275924691813138,,
1968,,,,,2032731102.64928,2239326014.7452,9.79999999999998,,90741240.0,33065704447.8652,33930457425.2613,,-206594912.0959201,373.92543263968287,2.5486039476505513,12.590626362183743,,
1967,,,,,1764834054.99797,1764834054.99797,4.2,,88446124.0,29559163247.6664,31086389194.961,,0.0,351.47260037037915,4.912844453295836,11.354384350846665,,
1966,,,,,1846958711.61305,1621508461.2021,6.7000000000001,,86139359.0,25823978009.9173,28283323733.1114,,225450250.41094995,328.34379151940755,8.695391483692328,12.263294107667416,,
1965,,,,,1685625122.1861,1210637974.35359,2.40000000000001,,83817583.0,21790035117.19,22465522884.0988,,474987147.83251,268.028760553723,3.0067751834385983,12.892035104109143,,
1964,,,,,1354466134.88626,1204326396.14961,3.39999999999985,,81488595.0,21211892259.9904,20963733694.9749,,150139738.73665,257.25972689767076,-1.183751752556291,12.20580536018364,,
1963,,,,,2080325261.99351,2097486800.99115,0.600000000000065,,79164235.0,23021477292.2093,23287712878.2002,,-17161538.997639894,294.16961937673244,1.143244883614669,17.939984423698135,,
1962,,,,,770900519.674771,1033970196.04432,6.59999999999992,,76865323.0,19926293839.0163,19231747851.5332,,-263069676.36954904,250.2005729102732,-3.6114553541618424,9.384850142860014,,
1961,,,,,1109152823.34559,1118302726.08473,8.60000000000014,,74605447.0,15236854859.469,17275940449.3837,,-9149902.739139795,231.56406326985348,11.80303669076055,12.893396778927782,,
1960,,,,,1069822093.95372,1078651437.23257,,,72388126.0,15165569912.5199,17030465539.3906,,-8829343.27884996,235.26600950258887,10.950350256470042,12.615471527874442,,
