Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,4.615,,,,767626880.0,,,,,,
2024,18556141172.84,0.16757857471,0.218128938439177,4.35,3753056083349.04,3219342570126.17,4.9773565917572,4.59,1408975000.0,18615022929518.1,18743803170827.2,768163717.0,533713513222.8701,13303.148154386841,0.6870550236545956,37.19842013880636,0.09899880511827355,54.51932908674746
2023,51338076801.59,0.161377801607252,0.23483682889305,4.35,3490089712362.99,3106457704279.42,5.41484330099675,4.67,1410710000.0,18136282647171.8,18270356654533.2,774607590.0,383632008083.5703,12951.178239704263,0.7338335528777556,36.10519236911387,0.2809911036348166,54.90905926802816
2022,190203789092.51,0.142457651070649,1.9735755573905,4.35,3717887818646.97,3140040863536.23,3.1341888719577,4.98,1412175000.0,18163546112470.6,18316765021690.2,770113477.0,577846955110.7402,12970.605641432683,0.8364954676121035,37.44071987636591,1.038413654743488,54.53385571901499
2021,344074977062.48,0.123504401314794,0.981015135544881,4.35,3554107780957.44,3093278397249.18,8.57008513166322,4.55,1412360000.0,18077551859016.4,18201698719564.0,781187865.0,460829383708.25977,12887.43572429409,0.6820619463070386,36.52069117626759,1.8903454142587957,55.31081770936589
2020,253095616058.58,0.125871762145022,2.41942189457782,4.35,2729884575163.89,2374737462777.69,2.34018843078414,5.0,1411100000.0,14878808399124.3,14996414166715.1,760877838.0,355147112386.2002,10627.463798961873,0.7842259241667762,34.03895078645808,1.6877075629208198,53.92090128268726
2019,187169822364.755,0.125646312827257,2.89923416358226,4.35,2628941104657.6,2496153305902.9,6.06850235053705,4.56,1407745000.0,14520157750328.0,14560167101283.4,775928449.0,132787798754.7002,10342.90095243343,0.2747863446695868,35.19942027388374,1.2854922684799202,55.11853702197486
2018,235365050036.341,0.171798187789183,2.07479039965576,4.35,2655609176087.45,2564121910994.89,6.75671800166833,4.31,1402760000.0,14086737564950.9,14147765772963.8,776868988.0,91487265092.56006,10085.663814881947,0.43136286670454016,36.89438439147176,1.6636199228440764,55.38146140465938
2017,166083755721.648,0.22872062217092,1.59313600071435,4.35,2424216052098.35,2208518918632.2,6.8912663621211,4.47,1396215000.0,12521428872625.2,12537559062282.9,779166682.0,215697133466.1499,8979.676527098549,0.12865494453562404,36.95085261585998,1.3246897174848216,55.80563752717167
2016,174749584584.05,0.234664999780238,2.00000182191943,4.35,2199974853570.14,1944490534275.23,6.77555562837017,4.56,1387790000.0,11400323697361.9,11456024084962.0,780932880.0,255484319294.91016,8254.868593203582,0.4862104617361615,36.17717069297797,1.52539470315394,56.271689520748815
2015,242489331627.398,0.293459971514147,1.43702380935654,4.35,2362097053274.6,2003260696068.67,6.97878002657477,4.65,1379860000.0,11228032678981.8,11280814787468.9,781077009.0,358836357205.9302,8175.33285077392,0.46789269641880576,38.69718483626247,2.149572847315631,56.6055258504486
2014,268097181064.335,0.28020429672732,1.9216416278852,5.6,2462825804851.16,2241276198979.27,7.46190028229434,4.63,1371860000.0,10687833547166.0,10674533168257.4,780370287.0,221549605871.89014,7781.0659748497665,-0.12459916231419489,44.068456481253,2.5115588367046255,56.88410530229032
2013,290928431467.003,0.182591382060942,2.62105001748114,6.0,2354264539609.2,2119392421427.69,7.77872409446717,4.6,1363240000.0,9665296804684.75,9743124247267.24,779251311.0,234872118181.51025,7147.035186223438,0.798793493825344,45.91604137955713,2.9859870826198573,57.161711144039195
2012,241213868161.42,0.196752167063247,2.6195243264554,6.0,2175069254663.85,1943205232867.15,7.85617427055587,4.58,1354190000.0,8653847951304.22,8673664713189.24,779022561.0,231864021796.7002,6405.0574241349,0.22847046248959785,47.48021307843178,2.780991381816136,57.52682865772159
2011,280072219149.934,0.215965795112023,5.55389892257493,6.56,2006308960976.47,1825413639206.37,9.4613358870736,4.55,1345035000.0,7601379935590.42,7671757207851.29,778275581.0,180895321770.09985,5703.760279733457,0.9173553118814277,49.94582722536433,3.6506919022842332,57.86284973996959
2010,243703434558.177,0.220200211357557,3.17532475269199,5.81,1654823329663.86,1432422435977.06,10.5962719761682,4.53,1337705000.0,6166492055190.13,6192564874453.29,773873234.0,222400893686.80005,4629.245517100773,0.42103425303981157,49.8540722338977,3.935419967315116,57.85081419296482
2009,131057052869.5,0.177461277719091,-0.728165250932898,5.31,1262664161019.72,1042533759652.94,9.40269972778044,4.72,1331260000.0,5181045920787.14,5189577094997.58,772141043.0,220130401366.78003,3898.2445915881044,0.16439054771272085,44.419764433111965,2.5253898433425452,58.00076942145036
2008,171534650311.568,0.195754634183571,5.92525137041091,5.31,1497868782939.59,1149036249785.66,9.67024588602851,4.59,1324655000.0,4695911654845.43,4667346414521.95,769779554.0,348832533153.9302,3523.4430206521324,-0.612023145198775,56.71113300032086,3.6752071750632482,58.11170108443331
2007,156249335203.201,0.189595556743322,4.81676767378834,7.47,1258056795940.68,950020767157.33,14.1499854947127,4.35,1317885000.0,3612096538009.96,3604055822571.63,766486940.0,308036028783.35,2734.7270987769266,-0.22310185619135955,61.266464000617596,4.33537500236917,58.160381216874
2006,124082035618.505,0.154737416153914,1.64943099455859,6.12,991731387760.501,782812463259.9,12.6746751655235,4.43,1311020000.0,2786356399836.56,2791498472804.33,761959276.0,208918924500.60095,2129.2569699961327,0.18420475661605182,63.569579862162705,4.4449974387359275,58.119576818050064
2005,104108693867.085,0.143990850692326,1.7764140766757,5.58,773339005396.99,648712207879.781,11.458238455067,4.52,1303720000.0,2301443793302.11,2317551298052.05,754465388.0,124626797517.20898,1777.6449682846392,0.6950225767808736,61.360074940823736,4.492185090124673,57.870201270211396
2004,68117272181.2194,0.33470576160415,3.82463743108159,5.58,607356934124.72,556182551584.76,10.1314073631003,4.49,1296075000.0,1979064133594.61,1984196551300.44,744936890.0,51174382539.95996,1530.9272621572363,0.2586647831065957,58.64033404084377,3.432990150929122,57.4763721235268
2003,57900937467.3864,0.274679180387674,1.12760348729637,5.31,447958253781.62,412137124715.32,10.1181928640117,4.58,1288400000.0,1673684677258.3,1683903309843.85,735682023.0,35821129066.29999,1306.9724540855714,0.6068420036835507,51.07748013018024,3.4384953773121096,57.10043643278485
