Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,2.451,,,,69386649.0,,,,,,
2024,16160318365.9944,0.115309420280122,2.73853681635241,,917043674686.877,952041559317.639,0.104309021773304,2.5,123975371.0,4290007995909.68,4027597523550.58,69501768.0,-34997884630.762085,32487.077804756722,-6.515310202290739,46.40695161508591,0.4012396539500318,56.06094778292699
2023,19982140844.5082,0.111846653062437,3.26813365933163,,920644083095.705,981637982326.316,1.47503481053384,2.6,124516650.0,4463801619616.66,4213167237905.83,69197135.0,-60993899230.611084,33836.17562716175,-5.948835343061502,45.150879564124715,0.4742783686517129,55.57259611465615
2022,48153832744.0586,0.126874933673179,2.49770278172255,,918408424578.807,1076977967308.71,0.941998775483285,2.614,125124989.0,4525477683499.98,4262463317796.53,68931266.0,-158569542729.90295,34065.64389625265,-6.170478103713402,46.81298683689382,1.129718408203255,55.089927720193444
2021,35027163875.7213,0.105055336492197,-0.233352779398264,,912549013982.719,938755726387.128,2.69657404187188,2.808,125681593.0,5279648033254.91,5039148168861.22,68592854.0,-26206712404.409058,40094.55997952874,-4.772629347948707,36.738446228069876,0.6951008920945655,54.57669047845375
2020,62584719398.0912,0.0967099102397569,-0.024995834027731,,785057625362.297,798645128766.751,-4.16876457146743,2.809,126261000.0,5239487602255.04,5054068005376.28,68656452.0,-13587503404.45398,40028.73417267628,-3.6687198645035863,31.335208636772975,1.2383038639669375,54.37661035474137
2019,39960544340.0141,0.0857508506606716,0.46877615938395,,893782209080.495,908591904960.75,-0.402169200894946,2.351,126633000.0,5318494421653.03,5117993853016.51,68812048.0,-14809695880.255005,40415.95676495471,-3.9175617320905314,35.21641810841446,0.7807853133012583,54.339743984585375
2018,25289367857.8518,0.0866803594795751,0.989094598021848,,923234601723.625,922228472388.616,0.643391023533141,2.467,126811000.0,5233677416722.46,5040880939324.86,68187091.0,1006129335.0090332,39751.13309827113,-3.8246584221729587,36.60993180210698,0.5016854824037736,53.7706437138734
2017,18802251208.1068,0.0901069827039231,0.484199796126385,0.994,867405253150.188,829947425329.105,1.67533175173359,2.822,126972000.0,5113251596855.53,4930837369151.42,67070828.0,37457827821.08301,38834.05293412264,-3.6994573953166743,34.423213572168606,0.3813196380342717,52.82332167722017
2016,40954181468.5533,0.0765526640097879,-0.127258844489754,1.04475,803489014102.661,763174802438.923,0.753826745789127,3.132,127076000.0,5177794688417.2,5003677627544.24,66529155.0,40314211663.73804,39375.47316207813,-3.4797817492174263,31.31024684558842,0.8184816152645158,52.35383156536246
2015,5252218412.39171,0.0748065192301101,0.795279630579839,1.14283333333333,775051882733.212,799671850411.581,1.56062669680782,3.385,127141000.0,4619771168713.41,4444930651964.18,65931158.0,-24619967678.36902,34960.63938433849,-3.9334813170137948,35.42740835447984,0.11816198774824072,51.85672442406462
2014,19752249424.087,0.0762490669316556,2.75922671353253,1.21916666666667,852990577902.813,980024678767.845,0.296205514141889,3.589,127276000.0,5079021304760.51,4896994405353.29,65843453.0,-127034100865.03198,38475.395246183805,-3.7171147103666646,37.43143456865797,0.4033545434010352,51.73281137056476
2013,10648441636.2071,0.0453512003886862,0.335037912184741,1.30375,822722049495.078,948362884511.706,2.00510017681211,4.038,127445000.0,5391605623511.27,5212328181166.18,65621150.0,-125640835016.62805,40898.647896474395,-3.4394887680495057,33.97876865095111,0.20429338418642456,51.489779905057084
2012,546962692.190725,0.0404883720248673,-0.0440645104432602,1.4075,904146988796.653,1007099152148.38,1.37475099905274,4.358,127629000.0,6445536590964.04,6272362996105.03,65377600.0,-102952163351.72705,49145.28043081925,-2.760898802676853,30.470910917175324,0.008720201501896082,51.2247216541695
2011,-850717035.068238,0.034199885971702,-0.27245561610124,1.50091666666667,920913976671.968,961182364174.189,0.0238095237995424,4.55,127833000.0,6414396892358.66,6233147172341.35,65674339.0,-40268387502.22095,48760.07894942111,-2.907836362689763,30.1949607286296,-0.013648274483926299,51.37510580210118
2010,7440979284.16285,0.0292489662024517,-0.728243207517779,1.59833333333333,859167320527.627,782080174983.161,4.09791791943181,5.102,128070000.0,5912477091132.79,5759071769013.11,66100429.0,77087145544.46594,44968.156234973925,-2.6637161034367107,28.498472693838934,0.12920448958804964,51.61273444210197
2009,12226471578.7438,0.0301452736960296,-1.35283672951719,1.72333333333333,656932075524.126,633184104751.411,-5.69323635892741,5.068,128047000.0,5422436226957.12,5289493117993.89,66339021.0,23747970772.714966,41308.996837051156,-2.513343074612996,24.39016653385553,0.23114637463373522,51.80833678258764
2008,24624845329.5647,0.0339237865439651,1.3800788616492,1.9095,880163893981.685,862718956651.3,-1.22428900061713,4.002,128063000.0,5243862441285.03,5106679115127.3,66611354.0,17444937330.38501,39876.303968572494,-2.686351013349519,34.12947654122455,0.48220858946510975,52.01451941622482
2007,21631204435.6846,0.0302184697056709,0.060039454498669,1.88325,791798969881.999,711118565477.884,1.48396941157472,3.888,128001000.0,4720092396404.35,4579750920354.81,66797225.0,80680404404.11499,35779.02454164272,-3.0643910223542745,32.816578051879006,0.47232272697504596,52.184924336528624
2006,-2396909736.30511,0.0255774585995197,0.249355116079085,1.66483333333333,720499607478.291,660752902210.073,1.3723501275831,4.192,127854000.0,4724628609114.59,4601663122649.92,66694003.0,59746705268.21802,35991.546002862015,-2.6721966208134518,30.016376098669173,-0.052087901100522596,52.1641896225382
2005,5459618342.94078,0.0187309824125513,-0.282946068764391,1.67691666666667,667510447457.861,599781161368.994,1.80390087215821,4.446,127773000.0,4938602699009.78,4831467035389.8,66581356.0,67729286088.86694,37812.89501999483,-2.217456164664421,26.229954577856507,0.11300125413150627,52.109096601003344
2004,7527948175.22323,0.0158094496467218,-0.00857338820310272,1.76658333333333,625646760881.018,532277504089.913,2.18611569439318,4.734,127761000.0,4987574981745.58,4893116005656.56,66508242.0,93369256791.10492,38298.98017123034,-1.9304462837141743,23.664353422897445,0.15384773560489354,52.056763801159974
2003,8771535612.31507,0.0179473405667154,-0.256541816316025,1.82208333333333,518203970379.571,445643407643.175,1.53512549946694,5.251,127718000.0,4592583679436.92,4519561645253.53,66784334.0,72560562736.396,35387.037420359935,-1.6156884210237028,21.326125267811847,0.19407934443215277,52.290463364600136
