Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,2.235,,,,52204133.0,,,,,,
2024,9398326659.59308,8.72571015588724,3.21260487006347,,118974717244.898,185164160350.41,5.69201612823412,2.202,115843670.0,521766436503.475,461617509782.355,51307682.0,-66189443105.51201,3984.8315387656053,-13.030035786441294,65.88547252869685,2.0359554090624155,44.29044936162675
2023,8925128471.59541,8.9455180769963,5.97802515541409,,116417848991.926,178244920796.221,5.51894967862863,2.2,114891199.0,484953746413.627,437055627244.424,50378922.0,-61827071804.29501,3804.0827413109687,-10.959272958271718,67.41996931739685,2.042103548206695,43.84924383981753
2022,9492234668.1091,9.40977059288243,5.82115811213955,,114785414693.615,178086451580.466,7.58098212785563,2.598,113964338.0,428113122133.855,404353369604.631,49481401.0,-63301036886.851,3548.0693057211543,-5.875987271345317,72.42968361075994,2.347509723336899,43.41832003622045
2021,11983363327.4771,9.30892916286057,3.92718022100332,,101485514507.701,148699308216.869,5.71473313185116,3.398,113100950.0,408104073652.169,394087359848.11,44699749.0,-47213793709.167984,3484.3859388281885,-3.556752951797635,63.48460981367096,3.040788553100448,39.52199252084089
2020,6822133290.81919,9.64277376552078,2.3931623931624,,91171559890.9852,119257490806.482,-9.51829474045297,2.522,112081264.0,389165789740.532,361751145451.597,42533348.0,-28085930915.496796,3227.579102351995,-7.57831582114593,58.169560302227985,1.8858636321117068,37.948669101376304
2019,8671365873.65689,9.33261353281524,2.39206534422404,7.09583333333333,106953484846.44,152458687320.163,6.11852566221303,2.237,110804683.0,414552288027.021,376823402239.136,45267971.0,-45505202473.72299,3400.7894976707435,-10.012352089518545,68.84184225956788,2.3011749859829442,40.853842792907955
2018,9948598823.96867,9.74765976052018,5.30934661627707,6.1185,104793441904.255,145499457397.948,6.34148557153473,2.338,109465287.0,383816939953.966,346841896587.313,44041398.0,-40706015493.69299,3168.5103660972723,-10.660489326826474,72.16339829902728,2.8683382607049714,40.23320927299994
2017,10256442398.8834,9.98833927166016,2.85318772590947,5.62725,97073582741.5119,126846380455.649,6.9309883258402,2.552,108119693.0,364718697510.819,328480736802.76,43266495.0,-29772797714.1371,3038.1212495928935,-11.031989595730375,68.16836974267267,3.1223877840489616,40.01721961974125
2016,8279548274.88501,9.77380233956317,1.25369880080982,5.642,84987391167.9967,111847835761.901,7.14945675000752,2.695,106735719.0,354012676981.763,318627003016.731,44089437.0,-26860444593.904297,2985.1956402404617,-11.105673288831044,61.7760657653871,2.5985080349421144,41.307106386757
2015,5639155961.87389,9.72419552564766,0.674192536845408,5.57825,83377968054.3017,97858999139.3944,6.34830971672761,3.068,105312992.0,341466825826.696,306445871242.322,42976583.0,-14481031085.092697,2909.8581801030023,-11.428104559673166,59.14159210530953,1.8401801071794268,40.80843415786725
2014,5739574024.13183,9.64449879049469,3.59782343864211,5.52591666666666,81375151612.2683,89583209901.6933,6.34798748260867,3.6,103767130.0,331766346473.311,297483555338.044,42543143.0,-8208058289.425003,2866.838037614069,-11.524264289604137,57.468172087594525,1.9293752280221652,40.998669809987035
2013,3737371739.84519,9.41055797221716,2.58268766141795,5.76683333333333,74318435289.2963,84169697681.9,6.75053130142255,3.497,102076336.0,317288013007.529,283902828588.718,41114722.0,-9851262392.603699,2781.2795767739744,-11.759370128423463,55.824781232029764,1.3164263837819716,40.278406936549914
2012,3215415155.43566,9.39585704973622,3.02696391124796,5.6795,71941908434.7541,79558185309.3369,6.89695171050985,3.504,100175512.0,290823739758.617,261920540962.63,40289936.0,-7616276874.582794,2614.6164440130838,-11.035101977782956,57.84200551330816,1.2276300070311879,40.21934622106049
2011,2007150725.40003,9.84286049520808,4.7184170471842,6.66325,68169783855.6464,74224237016.1275,3.85823282795663,3.592,98248614.0,259495340510.663,234216730291.32,39596984.0,-6054453160.481102,2383.918925220869,-10.79282858568699,60.79583669990759,0.8569630029859632,40.30284233831532
2010,1070386939.91896,10.3454184113586,3.78983634797591,7.67266666666667,68500918811.9867,69239834652.7254,7.33449996034538,3.605,96337125.0,231747446287.784,208368893151.144,38110500.0,-738915840.7387009,2162.913758856142,-11.219790431809773,66.10427851377962,0.5136980495176582,39.55951560730092
2009,2064620677.76657,11.3422561884615,4.21903052064628,8.56616666666667,53178736402.3859,53966293099.485,1.44832306275669,3.858,94384250.0,196297286284.675,175974755881.372,37120751.0,-787556697.0990982,1864.450434064709,-11.548548711727033,60.88659078697597,1.1732482124642756,39.329391291449575
2008,1340027563.20325,10.3789187625683,8.26044703595725,8.75108333333334,60584223733.5822,62341268152.3086,4.34448730509183,3.72,92699095.0,198638894706.999,181624626327.361,36070857.0,-1757044418.7264023,1959.2923353497788,-9.367820170471493,67.68107077304009,0.7378005892152415,38.91176823247304
2007,2918724840.50407,10.538140162174,2.90000000000003,8.69141666666667,59294683203.5813,55577057555.4844,6.51929155018938,3.434,91075184.0,169989274445.126,155980408673.403,35381465.0,3717625648.096901,1712.6554328279262,-8.981170065437656,73.64497999206297,1.871212458877059,38.84863411310813
2006,2707414996.79964,12.1392347971869,5.4852320675105,9.77866666666667,52651035880.407,50557042719.8686,5.31641682136939,4.052,89508986.0,139394152560.634,127652926368.069,34684599.0,2093993160.5383987,1426.1464917954606,-9.197772841267149,80.8505386728776,2.1209188647921753,38.749851327776184
2005,1664000000.0,12.7839886627031,6.51685393258433,10.1849166666667,44289298773.9857,45777705832.2362,4.94250511877678,3.795,88015962.0,117903914419.063,107419977318.166,34017208.0,-1488407058.250496,1220.460185598676,-9.75976476874944,83.8456745708049,1.5490600924923092,38.64890779697437
2004,592000000.0,12.0713248541975,4.82921083627795,10.079,39736335346.4638,43034427467.1213,6.56922851180626,3.554,86394504.0,103863714018.349,95001999685.3314,33146452.0,-3298092120.657501,1099.6301302375832,-9.327924004094273,87.12528482320478,0.6231447779634544,38.366389602746025
2003,492000000.0,11.7636795721571,2.28915662650607,9.47166666666667,36821904272.9347,39402271856.6034,5.08691113513073,3.527,84731835.0,95230408663.2458,87039092974.2272,32101597.0,-2580367583.668701,1027.230119284295,-9.411076573883987,87.57464436366374,0.5652632434321025,37.88611092867279
2002,1769000000.0,11.5470364978462,2.72277227722765,9.1385,33727726965.0759,36959602030.9991,3.71625500158383,3.616,83068889.0,92344891983.9204,84307345887.543,31307312.0,-3231875065.9231987,1014.9087932010623,-9.533624871904548,83.84480409377892,2.098275045165883,37.68837211726763
