country,country_code,year,poverty_percent
Afghanistan,AFG,2019,47.1
Afghanistan,AFG,2016,54.5
Afghanistan,AFG,2011,38.3
Afghanistan,AFG,2007,33.7
Albania,ALB,2022,19.7
Albania,ALB,2021,20.6
Albania,ALB,2020,22.0
Albania,ALB,2019,21.8
Albania,ALB,2018,23.0
Albania,ALB,2017,23.4
Albania,ALB,2016,23.7
Albania,ALB,2012,14.3
Albania,ALB,2008,12.4
Albania,ALB,2005,18.5
Albania,ALB,2002,25.4
Algeria,DZA,2011,5.5
Algeria,DZA,1995,22.6
Algeria,DZA,1988,12.2
Angola,AGO,2018,32.3
Argentina,ARG,2024,38.1
Argentina,ARG,2023,41.7
Argentina,ARG,2022,39.2
Argentina,ARG,2021,37.3
Argentina,ARG,2020,42.0
Argentina,ARG,2019,35.5
Argentina,ARG,2018,32.0
Argentina,ARG,2017,25.7
Argentina,ARG,2016,30.3
Armenia,ARM,2024,21.7
Armenia,ARM,2021,26.5
Armenia,ARM,2020,27.0
Armenia,ARM,2019,26.4
Armenia,ARM,2018,23.5
Armenia,ARM,2017,25.7
Armenia,ARM,2016,29.4
Armenia,ARM,2015,29.8
Armenia,ARM,2014,30.0
Armenia,ARM,2013,32.0
Armenia,ARM,2012,32.4
Armenia,ARM,2011,35.0
Armenia,ARM,2010,35.8
Armenia,ARM,2009,34.1
Armenia,ARM,2008,27.6
Armenia,ARM,2007,26.4
Armenia,ARM,2006,30.2
Armenia,ARM,2005,40.1
Armenia,ARM,2004,53.5
Austria,AUT,2021,14.8
Austria,AUT,2020,14.7
Austria,AUT,2019,13.9
Austria,AUT,2018,13.3
Austria,AUT,2017,14.3
Austria,AUT,2016,14.4
Austria,AUT,2015,14.1
Austria,AUT,2014,13.9
Austria,AUT,2013,14.1
Austria,AUT,2012,14.4
Austria,AUT,2011,14.4
Austria,AUT,2010,14.5
Austria,AUT,2009,14.7
Austria,AUT,2008,14.5
Austria,AUT,2007,15.2
Austria,AUT,2006,12.0
Austria,AUT,2005,12.6
Austria,AUT,2004,12.6
Austria,AUT,2003,13.0
Austria,AUT,2002,13.2
Azerbaijan,AZE,2012,6.0
Azerbaijan,AZE,2011,7.6
Azerbaijan,AZE,2010,9.1
Azerbaijan,AZE,2009,10.9
Azerbaijan,AZE,2008,13.2
Azerbaijan,AZE,2007,15.8
Azerbaijan,AZE,2001,49.6
Bangladesh,BGD,2022,18.7
Barbados,BRB,2016,25.7
Belarus,BLR,2024,3.5
Belarus,BLR,2023,3.6
Belarus,BLR,2022,3.9
Belarus,BLR,2021,4.1
Belarus,BLR,2020,4.8
Belarus,BLR,2019,5.0
Belarus,BLR,2018,5.6
Belarus,BLR,2017,5.9
Belarus,BLR,2016,5.7
Belarus,BLR,2015,5.1
Belarus,BLR,2014,4.8
Belarus,BLR,2013,5.5
Belarus,BLR,2012,6.3
Belarus,BLR,2011,7.3
Belarus,BLR,2010,5.2
Belarus,BLR,2009,5.4
Belarus,BLR,2008,6.1
Belarus,BLR,2007,7.7
Belarus,BLR,2006,11.1
Belarus,BLR,2005,12.7
Belarus,BLR,2004,17.8
Belarus,BLR,2003,27.1
Belarus,BLR,2002,30.5
Belarus,BLR,2001,28.9
Belarus,BLR,2000,41.9
Belarus,BLR,1999,46.7
Belarus,BLR,1998,33.0
Belarus,BLR,1997,32.1
Belarus,BLR,1996,38.6
Belgium,BEL,2022,12.3
Belgium,BEL,2021,13.2
Belgium,BEL,2020,12.7
Belgium,BEL,2019,14.1
Belgium,BEL,2018,14.8
Belize,BLZ,2018,52.0
Belize,BLZ,2009,41.3
Belize,BLZ,2002,34.1
Benin,BEN,2021,36.2
Benin,BEN,2018,38.5
Bhutan,BTN,2022,12.4
Bolivia,BOL,2024,37.7
Bolivia,BOL,2023,36.5
Bolivia,BOL,2022,37.7
Bolivia,BOL,2021,36.4
Bolivia,BOL,2020,39.0
Bolivia,BOL,2019,37.2
