Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,2.673,,,,61707262.0,,,,,,
2024,45474733959.0,3.64356639704934,4.72225588452932,11.2233333333333,681348718684.406,703294122576.641,1.42742769080466,2.678,130861007.0,1805281845344.01,1856365616165.94,60887761.0,-21945403892.234985,14185.78122485287,2.75181625737263,74.58890798251426,2.449664740770281,46.52857439802523
2023,30682691037.0,3.68332313946646,5.52796087314389,11.5916666666667,648642274776.945,674539330290.583,3.35354140652768,2.765,129739759.0,1753688463628.88,1798317581486.88,60144623.0,-25897055513.63806,13860.959780932535,2.481715038402721,73.57886163652465,1.7061886817361271,46.35789634848944
2022,39206366288.0,4.18953324624702,7.8962761916855,8.17916666666667,629788673074.2,672827146643.746,3.70975709163623,3.256,128613117.0,1432992501496.72,1466934724293.06,58544385.0,-43038473569.54602,11405.794047375899,2.313819574534743,88.79848558671878,2.672672862583861,45.519762187242534
2021,35617195058.0,4.1826148147438,5.68920847683753,4.89166666666667,534121610565.454,559543398297.824,6.0484834621255,4.019,127648148.0,1282549137280.58,1316569466685.95,56864048.0,-25421787732.369995,10314.050672211475,2.5840132454997127,83.06929763578947,2.7053031350981502,44.54749159384592
2020,31546860667.0,3.92284685483306,3.39683415570006,6.34166666666667,439853932827.966,421735413258.959,-8.35403458167995,4.44,126799054.0,1085047504636.59,1121064767308.42,52956486.0,18118519569.00702,8841.270750398658,3.2127726891555346,76.85455570560183,2.8140087519422536,41.76410180473428
2019,29948988013.0,3.05446883227768,3.63596142127046,8.42916666666667,502467566320.434,507718819549.77,-0.392690505066824,3.477,125762982.0,1267424146265.66,1304106203902.45,56614536.0,-5251253229.335999,10369.555358527121,2.8128121411447515,77.4619722571129,2.2965144957810697,45.01685241528385
2018,37867130066.0,2.90745049971046,4.89935015356551,8.04,490508969545.438,517202845542.861,1.97208209405635,3.275,124573711.0,1223821716221.84,1256300182879.73,55142830.0,-26693875997.423035,10084.793756202142,2.5852473079675713,80.21266165689724,3.014178504630939,44.26522221851447
2017,33138670924.0,2.76495197157249,6.04145724018986,7.3325,446688309687.408,469597181245.762,1.87172853327193,3.419,123400057.0,1160558920059.09,1190721475906.0,54114274.0,-22908871558.354004,9649.278167724024,2.533132765070835,76.95212604072533,2.783074933521741,43.85271394161512
2016,38902371602.0,2.63693007782724,2.8217078474766,4.75416666666667,409476294705.042,432376614131.825,1.77249323845399,3.853,122251351.0,1083159760755.14,1112233497452.7,53498509.0,-22900319426.78302,9097.923976747708,2.6139957809350514,75.6903034088549,3.4976802704734586,43.76107794506091
2015,36251271532.0,2.210914817528,2.72064064964023,3.43916666666667,414495031033.993,439821695268.006,2.70232342550646,4.311,121072306.0,1182962837135.44,1213294467716.88,52800736.0,-25326664234.013,10021.23861188272,2.499939741628969,70.41297467626403,2.9878378659564753,43.61091131773768
2014,28438489737.0,1.87295707038479,4.01861608078679,3.55166666666667,429314956761.169,445312781390.94,2.50376350288664,4.819,119784261.0,1332054399903.7,1364507717614.13,51907743.0,-15997824629.770996,11391.377349768263,2.378390190945584,64.09840903512175,2.0841574855087877,43.33436009593948
2013,50929783746.0,1.80619576724803,3.80639069747204,4.27083333333333,408263658323.619,423928383606.88,0.852101559410627,4.921,118343573.0,1288984391393.29,1327436290282.67,51511392.0,-15664725283.260986,11216.800850542766,2.8967039074388854,62.69167477358092,3.8367026816145575,43.526987308385564
2012,18231597858.0,1.9166918489656,4.11150981070289,4.68083333333333,395854929792.859,410653072130.987,3.55321075993527,4.892,116818208.0,1228761368842.97,1255110424817.79,50764169.0,-14798142338.12799,10744.133524268665,2.0993416558264406,64.2579318900112,1.4525891505240873,43.4556991321079
2011,23894805893.0,1.96824777394668,3.40737824605742,4.91083333333333,374148226662.347,389836031336.216,3.44404505794418,5.175,115243504.0,1210622838008.34,1229013703416.76,49262430.0,-15687804673.869019,10664.494403231265,1.4963922173765671,62.162387276449685,1.9442261568419015,42.74638334495626
2010,30534439564.0,2.05963610261838,4.15672722680174,5.28083333333333,320766037580.856,334456322123.253,4.9713345832195,5.303,113623895.0,1093237575189.89,1105424238731.09,48189452.0,-13690284542.396973,9728.800783770792,1.10244222210914,59.27338452938529,2.7622372021668626,42.4113713053051
2009,19652900330.0,2.42656562220423,5.29735584228856,7.065,250136106515.904,264902814265.021,-6.29525055780502,5.356,111999721.0,929066805910.397,943437415024.633,47339853.0,-14766707749.117004,8423.569332147114,1.5232180625209641,54.591742131350316,2.083116486268129,42.26783118504376
2008,29771543941.0,2.33150871701096,5.12498274575896,8.70576785663225,313852456086.709,340860425741.283,0.943331863036903,3.874,110374288.0,1145939366382.81,1161553459715.1,46418411.0,-27007969654.574036,10523.768540324356,1.3442423335487101,56.36528188625745,2.563079959169698,42.05545679261822
2007,31020143997.0,2.49619834688457,3.96684905458235,7.56083333333333,295222517228.833,313922896028.913,2.07786393438754,3.628,108774360.0,1084771599272.78,1102355554971.95,45655255.0,-18700378800.080017,10134.332713811877,1.5951256035188532,55.25852439444968,2.8139871801879135,41.972441851186254
2006,22128838519.0,2.60156038099559,3.62946762439132,7.51183478062322,270928816792.948,284933176453.922,4.80501352746852,3.566,107253666.0,1004974290964.45,1020265057882.01,44671073.0,-14004359660.973999,9512.635753467019,1.4987053412671494,54.48211608861679,2.168930352759285,41.64992644633704
2005,25161667683.0,2.47848065854808,3.98805714597437,9.695,233862215738.603,248437817056.73,2.11324712586392,3.558,105811504.0,904179622627.936,917571853529.104,43213356.0,-14575601318.127014,8671.758918851621,1.4595293926747708,52.562644651788595,2.7422013421864304,40.83994118446705
2004,25142732841.0,2.42376280545687,4.68840884843143,7.43833333333333,205711767188.403,220739895659.805,3.56544100946846,3.937,104394131.0,812126341854.446,819459227375.022,41810127.0,-15028128471.401978,7849.667596495649,0.8948444627398239,52.040620033563215,3.0682103515436454,40.05026585258897
