Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,2.818,,,,3736251.0,,,,,,
2024,135077157183.126,,2.38951123595017,,978597520043.286,786020626642.21,4.38802362461865,2.737,6036860.0,458396552098.324,547386645891.847,3689424.0,192576893401.07605,90674.06663262805,16.257264305111622,322.3714279347163,24.67673594101794,61.11495048750509
2023,125786783506.69,,4.83372362825798,,917682665719.369,728499583323.093,1.82140694115385,3.444,5917648.0,412466868786.617,505439514078.019,3622441.0,189183082396.276,85412.23034523496,18.394415692052686,325.6932240537805,24.886614521252827,61.214201993765094
2022,144147823984.526,,6.13095418919732,,947354945030.236,744363649815.365,4.10800021897151,3.591,5637022.0,407045138528.738,509017841146.557,3459003.0,202991295214.87097,90299.06946372695,20.033227595348457,332.34956775484017,28.318815635191612,61.36224055893342
2021,142313339701.522,,2.31610315765146,5.25,797699635946.268,639390598913.421,9.7568044629903,4.64,5453566.0,371025759164.798,436591382250.464,3385810.0,158309037032.84692,80056.12882478436,15.017617330809404,329.1613836837618,32.596461013030165,62.084331609812736
2020,79322385229.1189,,-0.172111865925382,5.25,634720766636.081,524652362543.142,-3.81470885510713,4.1,5685807.0,304388719050.373,349165858544.568,3431193.0,110068404092.93903,61410.07926307875,12.824031444781017,332.04080548191376,22.717680806410826,60.34663153357123
2019,106174185547.865,,0.567829988405447,5.25,665397849809.186,554852810304.965,1.30804118153127,3.1,5703569.0,330618960560.287,376161998830.048,3454121.0,110545039504.22107,65952.03789592937,12.107293775397439,324.39498511530047,28.225654339909834,60.56069454055872
2018,86126491248.6639,,0.438784215129623,5.33,672027857970.022,559645310570.104,3.4519759658687,3.613,5638676.0,329658255006.887,377123710560.614,3390276.0,112382547399.91797,66881.6067035265,12.586176425546705,326.59658728675,22.837729062601866,60.125391137919614
2017,101970056302.84,,0.576763191179996,5.28,590230171805.131,498507739377.591,4.47689915845876,4.2,5612253.0,321223020801.275,343673334902.33,3388507.0,91722432427.53998,61236.25127062697,6.532457371892191,316.7944092875681,29.6706336940046,60.3769466558261
2016,65133174223.0873,,-0.529809760375464,5.35,525980387189.424,442035878646.096,3.74757848792792,4.08,5607283.0,300689083099.658,319646468521.497,3396546.0,83944508543.328,57005.588717654704,5.930735136704336,302.8396560465734,20.376628756249477,60.573828715261925
2015,69774553124.9431,,-0.521975611895763,5.35,549421999163.53,465345116651.21,2.97679931634806,3.79,5535002.0,286982925099.558,307998545269.398,3360400.0,84076882512.32,55645.606861460576,6.823285529306065,329.47139894026145,22.654182689049126,60.711811847583796
2014,68698472830.5907,,1.03316955857629,5.35,604391776173.0,530588532417.821,3.93554027709007,3.74,5469724.0,303910658616.471,314863580758.455,3266959.0,73803243755.17902,57564.802311497806,3.4786246524924245,360.46731916623656,21.818488078267826,59.728041122367415
2013,64389514904.4993,,2.36439793742726,5.38,600013186286.262,528920562614.88,4.81763099120676,3.86,5399162.0,291009669943.259,307576360584.992,3179345.0,71092623671.38196,56967.42579403841,5.386204131625775,367.04178004901837,20.934481044653193,58.8858974781642
2012,55310807547.7033,,4.58084479423094,5.38,580505587048.163,509015616847.887,4.43549759378537,3.72,5312437.0,281970766822.76,295092888076.589,3125729.0,71489970200.27594,55547.555307778515,4.446776518186788,369.2129657876653,18.74352442318021,58.837949513566
2011,49155657316.2945,,5.25115624639373,5.38,568009168564.196,491027496151.938,6.21493416858989,3.89,5183688.0,269757413084.683,279356499090.458,3012462.0,76981672412.25806,53891.457026437165,3.4361420038653647,379.0986313775392,17.596031406585418,58.11426150647956
2010,55322434161.874,,2.82884527612958,5.38,474817309469.398,411718156402.456,14.5197497108994,4.12,5076732.0,237216943354.934,239807980591.24,2936802.0,63099153066.94202,47236.683084953074,1.0804633064829072,369.6855557876452,23.069471677080163,57.848277198796396
2009,23436064059.7506,,0.589142019610516,5.38,370525982887.767,324906377727.284,0.127953382778088,5.86,4987573.0,184079779170.376,194150283771.566,2837096.0,45619605160.48303,38926.80543654519,5.186963627124435,358.19281182884345,12.071094414327552,56.88329774822344
2008,13598298537.0174,,6.63544058395309,5.38,443371610356.07,403368670137.915,1.86348345462035,3.96,4839396.0,186495139805.253,193617323539.203,2737323.0,40002940218.15503,40008.572048909205,3.6784847573352266,437.3267148910566,7.02328608228285,56.5633190588247
2007,47337947782.7751,,2.10980166714574,5.33,385006655156.718,328425614192.006,9.02151951268893,3.9,4588599.0,176181970430.668,180941701357.97,2530038.0,56581040964.712036,39432.886019887555,2.6305328686423057,394.28847191907937,26.161988876805705,55.13748314027877
2006,39129332046.656,,0.965657519018511,5.3125,338926122120.945,293279955794.234,9.00676607871758,4.48,4401365.0,144596216454.69,148627286361.351,2426201.0,45646166326.711,33768.452823465224,2.7122004346230524,425.363399543018,26.32715230467343,55.12383090245867
2005,19316058814.0753,,0.425106276569107,5.3,287771727538.562,249571466422.975,7.36632239250758,5.59,4265762.0,120576521106.443,127807848728.398,2301785.0,38200261115.587006,29961.317281273074,5.657968343808179,420.43051292055986,15.113358847877553,53.959527043468434
2004,24390254965.552,,1.66272719863072,5.3,246116322768.289,215770830917.486,9.93998268434957,5.84,4166664.0,108075478574.488,115033593101.049,2211220.0,30345491850.80301,27608.08001342297,6.048767441740927,401.52371253850976,21.202723750554203,53.069313964360944
2003,17051420152.8733,,0.507905300237551,5.30666666666667,197818139655.823,170522212649.303,4.54825542643229,5.93,4114826.0,95051093943.6328,97646401095.6369,2176377.0,27295927006.51999,23730.384005456584,2.657862576483702,377.2185643015822,17.462415369689648,52.89110645261792
2002,6157194143.82423,,-0.391676866585049,5.34583333333333,170350298337.753,153298972181.205,3.92336076702013,5.65,4175950.0,90696854887.8916,92538372869.6942,2200772.0,17051326156.548004,22159.837371063877,1.9900047133913716,349.74601398567637,6.653665882470554,52.701109927082456
2001,17006818857.2728,,0.997197956155943,5.64833333333333,164227617773.506,149415004439.86,-1.07086275100448,3.76,4138012.0,89193363036.5854,89793790669.6515,2205923.0,14812613333.646027,21699.741486890685,0.6686738900188045,349.2921056949775,18.939860685735326,53.30876275854203
2000,15515295182.2254,,1.36162392448456,5.83333333333333,180961018304.917,169107805677.964,9.03831632555163,3.7,4027887.0,95489230337.31,96076539925.7409,2138100.0,11853212626.953003,23852.838951475278,0.6112934425873884,364.3645204682171,16.1488904515269,53.08242262009833
1999,18852989358.6266,,0.0167098337370727,5.8,152507703735.257,137834470137.001,5.71837175710837,4.85,3958723.0,87264219682.2692,86286849754.8905,2092081.0,14673233598.255981,21796.6373891001,-1.1326985863489565,336.4848464128825,21.84920345589284,52.84737022519636
1998,5958646073.68738,,-0.267502292876153,7.44166666666666,142983995000.006,124555957748.616,-2.19101500611274,3.41,3927213.0,86992785620.4761,85728207781.7785,2067428.0,18428037251.390015,21829.27378315831,-1.475101219795227,312.0792556746853,6.950624803512909,52.64364321466648
1997,15701783678.7862,,2.00358618538962,6.3225,169506454041.807,154758870855.856,8.31620911124497,2.5,3796038.0,102085524977.674,100123787215.299,1977115.0,14747583185.95102,26375.865366811133,-1.95931238413567,323.86442214814156,15.68237090854565,52.083646159495764
1996,11432363956.3629,,1.38318052481876,6.26,169132174170.822,153364122036.168,7.47139086002002,3.57,3670704.0,95601333578.2435,96293086513.0872,1886519.0,15768052134.653992,26232.866096826987,0.7183827623488712,334.91116328809284,11.87246599973626,51.3939287940406
1995,11942852103.36,,1.72053384788524,6.36916666666666,159046900079.372,144309656936.238,7.17540112091071,3.3,3524506.0,88447587970.7205,87812540788.4293,1786392.0,14737243143.134003,24914.850702035776,-0.7231850674054021,345.45926389546173,13.600394654488419,50.68489030803182
1994,8550165226.98866,,3.10013262599502,5.87833333333333,122465766339.061,110550174016.2,11.0956893100227,3.03,3419048.0,73784439887.8126,73688724431.1412,1705718.0,11915592322.861008,21552.41003669478,-0.1298915911631009,316.2165475845682,11.603084858631805,49.88868246365655
1993,4686312017.48988,,2.28929964388641,5.38833333333333,97966383028.4981,91975756765.5718,11.459650875246,3.07,3313471.0,59324256664.383,60603815716.2653,1635740.0,5990626262.9263,18290.130113185023,2.111350641472689,313.41613980766533,7.73270125338351,49.366359325311734
1992,2204342221.03992,,2.26307118702851,5.9525,84309872452.9103,77981321905.232,6.63980556949564,3.09,3230698.0,52162444051.9667,52131320032.8797,1583730.0,6328550547.678299,16136.240537766049,-0.05970310950761996,311.31226728151853,4.228441212786519,49.021295088553615
1991,4887094440.10303,,3.42570173078643,7.58333333333333,76631490593.343,70627959479.0159,6.68839753958379,2.18,3135083.0,44779334298.1187,45466164978.2923,1522540.0,6003531114.327103,14502.379993860544,1.5106413318596912,323.88799482575126,10.748860042267388,48.56458345759905
1990,5574738855.37737,,3.46075338652824,7.3625,64045069989.2324,60411526431.831,9.82089955731777,,3047132.0,35780956775.8806,36144336768.7023,1461706.0,3633543557.4013977,11861.756159136625,1.0053580320122375,344.33221784506907,15.423547237985524,47.96989431373501
1989,2886591947.22067,,2.34545627195895,6.21166666666667,54623086861.459,51266199562.7112,10.1588286387889,,2930901.0,30280113297.5552,30465364738.6206,,3356887298.7478027,10394.53899624061,0.6080722901392407,347.57268567979935,9.474995530125296,
1988,3654794588.61821,,1.52318519232634,5.96416666666667,46864672364.6724,44438888888.8889,11.26359213382,,2846108.0,25025641025.641,25371462488.1292,,2425783475.7835007,8914.441225747301,1.3630332214786756,359.8671590030745,14.405139594645815,
1987,2836204781.61429,,0.523306521949755,6.1,34308211628.5478,33687287590.7045,10.7979324702819,,2774789.0,20371544043.3545,20919215578.2125,,620924037.8432999,7539.029302124414,2.618030933379764,325.03847462650583,13.557892603622365,
1986,1710283593.07362,,-1.38570336391441,6.82,27644243443.4798,27154402072.6331,1.34281041445436,,2733373.0,18592791236.762,18586746056.9974,,489841370.8467026,6799.930363326703,-0.032524142451103306,294.82646046849453,9.201629956254475,
1985,1046746812.8759,,0.480122911465343,8.06416666666667,29160517556.6077,29103089400.4032,-0.622701650113157,,2735957.0,19314940696.6387,19156532745.7691,,57428156.204502106,7001.766747711715,-0.8269134763157193,304.14484567870954,5.464176773362517,
1984,1301871313.24794,,2.60098522167485,9.71916666666667,30900662565.0734,30939233317.558,8.79228623912256,,2732221.0,19624088973.0241,19749361097.965,,-38570752.48460007,7228.317584106483,0.6343097597917083,313.12352625424154,6.59196673143055,
1983,1133905965.84743,,1.19641076769694,9.05083333333333,29675560747.6636,29571682242.9907,8.55448210614414,,2681061.0,17289626168.2243,17784112149.5327,,103878504.67290115,6633.236673664904,2.7804929318408087,333.1470387303596,6.375949253543281,
1982,1601850446.29613,,3.916286779942,10.228333333,29812562124.2959,30107256117.764,7.10214484891354,,2646466.0,15273772897.2405,16084252378.473,,-294693993.4681015,6077.634240709308,5.038962720562863,372.5371676103266,9.95912280287289,
1981,1659967735.20666,,8.18202196816849,13.645,28092845133.57,28576639267.7004,10.8159232986752,,2532835.0,13359844946.7588,14175228843.6391,,-483794134.1304016,5596.585977230692,5.752174486030881,399.7782683183976,11.710341706063836,
