Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,4.198,,,,174845690.0,,,,,,
2024,297058000000.0,0.0303016009637605,2.94952520485207,,3193500000000.0,4103100000000.0,2.79300127716779,4.022,340110988.0,29194127000000.0,28750956130731.2,174221396.0,-909600000000.0,84534.04078415484,-1.5414126307789333,25.378634250708764,1.0332108561860378,51.22486545480266
2023,361944000000.0,0.0307780574276945,4.11633838374488,,3052469000000.0,3849811000000.0,2.88755600749487,3.638,336806231.0,27576136000000.0,27292170793214.4,172300802.0,-797342000000.0,81032.26211754496,-1.0404639811802852,25.290329788336592,1.326182525905889,51.15724892868742
2022,416890000000.0,0.0299279250881351,8.00279982052121,,3017379000000.0,3976314000000.0,2.51237531986017,3.65,334017321.0,26231750000000.0,25604848907611.0,169494100.0,-958935000000.0,76657.24888444034,-2.448368645528913,27.313939735536323,1.628168170428376,50.74410497412498
2021,477956000000.0,0.0304223696836328,4.69785886363742,3.25,2555430000000.0,3415459000000.0,6.05505293244555,5.349,332099760.0,23832230000000.0,23315080560000.0,167182196.0,-860029000000.0,70205.05091602595,-2.218089869641008,25.60955766219321,2.0499864830833765,50.34095658485269
2020,137066000000.0,0.0324161750844288,1.23358439630629,3.54416666666667,2151139000000.0,2777341000000.0,-2.16302914036166,8.055,331577720.0,21458070000000.0,21060473613000.0,166565059.0,-626202000000.0,63515.94918078332,-1.887879609481221,23.401562996939425,0.6508210713523236,50.234092628419056
2019,315984000000.0,0.0329685602788545,1.81221007526021,5.2825,2539391000000.0,3116681000000.0,2.58382533412825,3.669,330226227.0,21764838000000.0,21380976119000.0,168920514.0,-577290000000.0,64746.45067788634,-1.7953431071787447,26.453759494047542,1.4778745284655355,51.1529673262445
2018,214715000000.0,0.0338040258424814,2.44258329692817,4.90416666666667,2538089000000.0,3131166000000.0,2.96650506901305,3.896,328529577.0,20883383000000.0,20533057312000.0,167002008.0,-593077000000.0,62499.87443900675,-1.7061545325510852,27.610379272095802,1.0457039920427025,50.833172929206306
2017,380823000000.0,0.0325865910055647,2.13011000365961,4.09666666666667,2388260000000.0,2931589000000.0,2.45762229852507,4.355,326608609.0,19837150000000.0,19477336549000.0,165597316.0,-543329000000.0,59635.098439796486,-1.8473442202674957,27.31302088772056,1.9552108628505067,50.70206707257982
2016,474388000000.0,0.0338591199244413,1.26158320570536,3.51166666666667,2235558000000.0,2738830000000.0,1.81945147788167,4.869,324353340.0,18983369000000.0,18695110842000.0,163886456.0,-503272000000.0,57638.10183671918,-1.5418906067804956,26.607962060458373,2.537497659196815,50.52713685636782
2015,511434000000.0,0.0361309046802651,0.118627135552451,3.26,2270622000000.0,2794942000000.0,2.94555045484053,5.28,321815121.0,18608138000000.0,18206020741000.0,161927418.0,-524320000000.0,56572.91889960634,-2.208704827488365,27.823564918787213,2.8091476291040878,50.31690788699764
2014,251856000000.0,0.0370526950267928,1.62222297740817,3.25,2378545000000.0,2887445000000.0,2.52381981363968,6.168,319257560.0,17984237000000.0,17550680174000.0,160876331.0,-508900000000.0,54973.42075157124,-2.4703135246136014,30.004478161485526,1.4350213068841944,50.39076631419472
2013,288131000000.0,0.0392621564568635,1.46483265562717,3.25,2287922000000.0,2766375000000.0,2.11783009790057,7.375,316726282.0,17140708000000.0,16843190993000.0,160132463.0,-478453000000.0,53179.012763456114,-1.7663933581448286,30.007953968464506,1.7106675339592523,50.55862809642049
2012,250345000000.0,0.0387782131703568,2.06933726526067,3.25,2217700000000.0,2769317000000.0,2.28911338669843,8.069,314339099.0,16640301000000.0,16253972230000.0,159682753.0,-551617000000.0,51708.4011556577,-2.376826812137355,30.681835365729548,1.5402081193293635,50.79951985228538
2011,263497000000.0,0.0391288870669506,3.156841568622,3.25,2115864000000.0,2695480000000.0,1.56440685763506,8.949,311839461.0,15861958000000.0,15599728123000.0,158537150.0,-579616000000.0,50024.868799398035,-1.6809900463160783,30.842486241194344,1.6891127712123655,50.839348391510974
