Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,1.523,,,,57041323.0,,,,,,
2024,20170000000.0,,3.62109273885843,,429484098196.194,398774124843.597,7.09118746633975,1.602,100987686.0,460695230307.174,476388230307.175,56703936.0,30709973352.596985,4717.290287324487,3.2941619884022186,173.86202478296545,4.233941713252317,56.14935666512846
2023,18500000000.0,,3.25289282667662,9.323,375145540249.857,339930322254.124,5.06502391455075,1.645,100352192.0,411394681378.292,433857681378.291,56381956.0,35215217995.73297,4323.3503198245135,5.177504274820708,164.81807126989392,4.2640710984368635,56.18408016438744
2022,17900000000.0,,3.15650749963129,8.01333333333333,386241068014.827,370998835148.792,8.53750046755788,1.57,99680655.0,393530727717.776,413445230668.578,56475416.0,15242232866.035034,4147.697772136208,4.816720927847799,183.1536191478359,4.329473089108827,56.656345205596814
2021,15660000000.0,,1.83471554810444,7.811,343937314545.796,340182482326.141,2.55372852648131,2.383,98935098.0,347725576769.191,366474752771.009,55299911.0,3754832219.6550293,3704.1935590037924,5.116089405900596,186.67583283681427,4.273145661901878,55.895139457990936
2020,15800000000.0,,3.22093436652514,7.6475,292479899128.741,273355953899.644,2.86541320912272,2.103,98079191.0,331798335389.682,346615738537.796,55149609.0,19123945229.097015,3534.039534826465,4.274878922296334,163.2458628149352,4.55836196782424,56.22967363179004
2019,16120000000.0,,2.7958236745225,7.7075,284737397482.992,265976296626.188,7.35926270105006,1.681,97173776.0,317567408001.614,334365270496.667,56180127.0,18761100856.804016,3440.900253754336,5.0238059922017,164.70421503140815,4.821074861051003,57.81408247426755
2018,15500000000.0,,3.53962805942641,7.371875,261802606599.096,248830928922.633,7.46500685572751,1.161,96237319.0,294286042195.288,310106478394.659,56235855.0,12971677676.463013,3222.310031253666,5.101614220144408,164.6639367758928,4.998283196223275,58.434561129035615
2017,14100000000.0,,3.52025688811617,7.0675,230041803530.193,222881466764.771,6.94019037359206,1.874,95176977.0,264356106349.992,281353605986.903,55533898.0,7160336765.421997,2956.109921277527,6.0413299404103755,160.98008365887003,5.011487217496816,58.348037256951336
2016,12600000000.0,,2.66824816969082,6.96,190526869544.715,183315160786.75,6.69000892660424,1.848,94000117.0,242953110901.302,257096001177.982,54888312.0,7211708757.964996,2735.0604380416034,5.50101526740168,145.40950797311785,4.900893029167456,58.3917485975044
2015,11800000000.0,,0.631200905175754,7.1175,174473996313.379,172245363653.847,6.98715430598611,1.848,92823254.0,227116870128.414,239258328381.741,54628714.0,2228632659.532013,2577.5688534011206,5.074623038390153,144.91422819523714,4.931907733290223,58.852401360547
